#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000nws4
#time = 2014-03-30 09:51:43
#location = 19km NNW of Crescent, Oklahoma
#latitude = 36.1214
#longitude = -97.6422
#depth = 2.6
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000nws4
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.471456,324.331,Pg,2014-03-30 09:51:52.510,manual,0.5,0.0
GS.OK027.HHZ.00,0.501626,144.424,Pg,2014-03-30 09:51:53.160,manual,0.5,0.0
GS.OK029.HHZ.00,0.357967,154.827,Pg,2014-03-30 09:51:50.450,manual,0.6,0.0
GS.OK026.HHZ.00,0.721468,167.525,Pg,2014-03-30 09:51:57.050,manual,0.2,0.0
OK.OKCSW.EHZ.--,0.733412,166.853,Pg,2014-03-30 09:51:57.250,manual,0.2,0.0
OK.W35A.EHZ.--,1.15123,146.875,Pg,2014-03-30 09:52:04.390,manual,-0.7,0.027
OK.FNO.HHZ.01,0.884168,167.11,Pg,2014-03-30 09:52:00.260,manual,0.3,0.065
N4.T35B.BHZ.--,1.20757,48.6032,Pn,2014-03-30 09:52:06.020,manual,-0.9,0.113
TA.TUL1.BHZ.--,1.51476,97.4454,Pn,2014-03-30 09:52:10.430,manual,-0.6,0.088
OK.U32A.BHZ.--,1.12846,283.595,Pg,2014-03-30 09:52:04.270,manual,-0.4,0.148
GS.OK027.HH2.00,0.501626,144.424,Sg,2014-03-30 09:52:00.120,manual,1.0,0.061
GS.OK029.HH1.00,0.357967,154.827,Sg,2014-03-30 09:51:55.640,manual,1.1,0.065
GS.ADOK.HNZ.--,0.517555,154.748,Pg,2014-03-30 09:51:53.350,manual,0.4,0.0
GS.OK025.HH2.00,0.593123,155.278,Sg,2014-03-30 09:52:03.110,manual,1.0,0.055
