#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000pbz9
#time = 2014-04-09 03:36:06.900000
#location = 6km SSW of Langston, Oklahoma
#latitude = 35.8937
#longitude = -97.2926
#depth = 4.7
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000pbz9
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK027.HHZ.00,0.181457,177.686,Pg,2014-04-09 03:36:11.000,manual,0.5,0.0
GS.OK025.HHZ.00,0.314096,186.751,Pg,2014-04-09 03:36:13.530,manual,0.5,0.0
GS.OK028.HHZ.00,0.38149,150.387,Pg,2014-04-09 03:36:14.860,manual,0.6,0.0
OK.OKCSW.EHZ.--,0.501328,193.706,Pg,2014-04-09 03:36:16.870,manual,0.3,0.0
OK.QUOK.HHZ.--,0.548935,59.5082,Pg,2014-04-09 03:36:17.910,manual,0.5,0.0
OK.W35A.EHZ.--,0.81424,155.115,Pg,2014-04-09 03:36:22.070,manual,-0.5,0.038
GS.OK026.HHZ.00,0.49457,195.205,Pg,2014-04-09 03:36:16.840,manual,0.4,0.0
OK.CROK.HHZ.--,0.827035,317.703,Pg,2014-04-09 03:36:22.640,manual,-0.1,0.05
OK.FNO.HHE.01,0.641049,187.969,Pg,2014-04-09 03:36:19.640,manual,0.4,0.035
OK.KAY1.HHZ.--,0.869671,4.25794,Pg,2014-04-09 03:36:23.580,manual,0.0,0.027
N4.T35B.BHZ.--,1.19915,31.4519,Pg,2014-04-09 03:36:29.260,manual,-0.6,0.022
TA.TUL1.BHZ.--,1.2185,88.7764,Pg,2014-04-09 03:36:29.150,manual,-1.1,0.039
TA.W39A.BHZ.--,2.94456,102.651,Pn,2014-04-09 03:36:54.900,manual,0.5,0.032
TA.U40A.BHZ.--,3.62315,81.3751,Pn,2014-04-09 03:37:03.580,manual,-0.1,0.026
N4.S39B.BHZ.--,0.0,85.5265,Pn,2014-04-09 03:37:04.630,manual,0.4,0.023
GS.OK005.HNZ.01,0.252178,160.865,Pg,2014-04-09 03:36:12.480,manual,0.7,0.0
N4.N35B.BHZ.--,5.12624,14.1474,Pg,2014-04-09 03:37:44.010,manual,6.9,0.002
OK.U32A.BHZ.--,1.46573,289.817,Pn,2014-04-09 03:36:33.230,manual,-0.9,0.053
NM.GNAR.HHZ.00,5.9032,87.1743,Lg,2014-04-09 03:39:13.980,manual,-6.0,0.0
NM.SLM.BHZ.00,6.25723,61.9598,Lg,2014-04-09 03:39:24.190,manual,-7.3,0.0
US.SCIA.BHZ.00,6.7932,26.6552,LR,2014-04-09 03:39:43.150,manual,0.0,0.0
US.SDCO.BHZ.00,6.83874,288.111,LR,2014-04-09 03:39:43.350,manual,0.0,0.0
N4.L34B.BHZ.--,6.10608,6.43711,LR,2014-04-09 03:39:20.950,manual,0.0,0.0
NM.PLAL.BHZ.00,7.57831,94.1976,Lg,2014-04-09 03:40:05.390,manual,-9.3,0.0
IU.ANMO.BHZ.10,7.54185,265.474,Lg,2014-04-09 03:40:06.070,manual,-7.5,0.0
US.ISCO.BHZ.00,7.64985,303.132,LR,2014-04-09 03:40:11.770,manual,0.0,0.0
US.ECSD.BHZ.10,7.84772,3.60357,LR,2014-04-09 03:40:15.640,manual,0.0,0.0
US.MNTX.BHZ.00,7.92583,240.456,LR,2014-04-09 03:40:15.270,automatic,0.0,0.0
IU.WVT.BHZ.10,7.67259,85.4599,Lg,2014-04-09 03:40:07.790,manual,-10.0,0.0
N4.Q44B.BHZ.--,7.23933,63.0186,LR,2014-04-09 03:39:55.030,manual,0.0,0.0
N4.L40A.BHZ.--,7.76325,35.6544,Lg,2014-04-09 03:40:10.380,manual,-10.4,0.0
N4.K31B.BHZ.--,6.81495,350.87,Lg,2014-04-09 03:39:44.450,manual,-5.3,0.0
OK.X34A.HHZ.--,1.3634,199.072,Pn,2014-04-09 03:36:32.380,manual,-0.3,0.051
US.WMOK.BHZ.10,1.67653,226.973,Pn,2014-04-09 03:36:36.850,manual,-0.1,0.052
AG.HHAR.HHZ.00,2.74294,80.8938,Pn,2014-04-09 03:36:51.820,manual,0.2,0.031
US.MIAR.BHZ.00,3.32643,112.772,Pn,2014-04-09 03:37:00.530,manual,0.9,0.03
US.CBKS.BHZ.00,3.50579,326.98,Pg,2014-04-09 03:37:07.940,manual,-1.6,0.006
US.AMTX.BHZ.00,3.72401,255.58,Pn,2014-04-09 03:37:07.570,manual,2.4,0.036
N4.Z35B.BHZ.--,2.55686,179.257,Pn,2014-04-09 03:36:49.370,manual,0.3,0.037
N4.U38B.BHZ.--,2.41434,76.1096,Pn,2014-04-09 03:36:47.740,manual,0.6,0.032
ZW.AZDA.EHZ.01,2.92185,184.336,Pn,2014-04-09 03:36:55.020,manual,0.9,0.035
AG.WHAR.HHZ.00,4.12184,96.9405,Pn,2014-04-09 03:37:11.080,manual,0.5,0.025
GS.OK005.HNE.01,0.252178,160.865,Sg,2014-04-09 03:36:16.190,manual,1.1,0.055
GS.OK028.HH2.00,0.38149,150.387,Sg,2014-04-09 03:36:20.420,manual,1.2,0.06
GS.OK027.HH2.00,0.181457,177.686,Sg,2014-04-09 03:36:13.870,manual,1.0,0.046
GS.ADOK.HNZ.--,0.249486,194.848,Pg,2014-04-09 03:36:12.190,manual,0.4,0.0
GS.ADOK.HNN.--,0.249486,194.848,Sg,2014-04-09 03:36:16.040,manual,1.0,0.041
GS.OK025.HH2.00,0.314096,186.751,Sg,2014-04-09 03:36:18.060,manual,1.0,0.039
GS.OK029.HHZ.00,0.163634,233.739,Pg,2014-04-09 03:36:10.720,manual,0.6,0.0
GS.OK029.HH1.00,0.163634,233.739,Sg,2014-04-09 03:36:13.430,manual,1.1,0.079
OK.OKCSW.EHE.--,0.501328,193.706,Sg,2014-04-09 03:36:24.000,manual,0.9,0.035
GS.OK026.HH2.00,0.49457,195.205,Sg,2014-04-09 03:36:23.920,manual,1.1,0.035
OK.QUOK.HHN.--,0.548935,59.5082,Sg,2014-04-09 03:36:25.760,manual,1.2,0.073
TA.TUL1.BHN.--,1.2185,88.7764,Sn,2014-04-09 03:36:46.100,manual,-1.4,0.059
N4.Z38B.BHZ.--,3.24451,143.411,Pn,2014-04-09 03:36:59.110,manual,0.6,0.032
TA.X40A.BHZ.--,3.91151,109.724,Pn,2014-04-09 03:37:08.420,manual,0.7,0.027
TA.WHTX.BHZ.--,3.89485,182.046,Pn,2014-04-09 03:37:07.950,manual,0.5,0.029
TA.ABTX.BHZ.--,3.79827,211.5,Pn,2014-04-09 03:37:08.330,manual,2.2,0.032
AG.FCAR.HHZ.00,4.19637,88.5346,Pn,2014-04-09 03:37:11.100,manual,-0.5,0.024
N4.R32B.BHZ.--,2.76678,336.247,Pn,2014-04-09 03:36:51.920,manual,-0.1,0.028
OK.CROK.HHN.--,0.827035,317.703,Sg,2014-04-09 03:36:34.250,manual,0.7,0.053
OK.W35A.EHZ.--,0.81424,155.115,Sg,2014-04-09 03:36:32.600,manual,-0.5,0.04
TA.TUL1.BHZ.--,1.2185,88.7764,Sg,2014-04-09 03:36:45.650,manual,-0.4,0.056
OK.U32A.BHZ.--,1.46573,289.817,Sn,2014-04-09 03:36:53.570,manual,-0.1,0.062
OK.X34A.HHZ.--,1.3634,199.072,Sn,2014-04-09 03:36:50.280,manual,-0.8,0.06
US.WMOK.BHZ.10,1.67653,226.973,Sn,2014-04-09 03:36:58.670,manual,-0.2,0.054
N4.U38B.BHZ.--,2.41434,76.1096,Sn,2014-04-09 03:37:17.210,manual,0.1,0.026
NM.UALR.BHZ.--,4.19748,103.977,Pn,2014-04-09 03:37:12.280,manual,0.7,0.025
N4.R40B.BHZ.--,4.6749,57.7238,Pn,2014-04-09 03:37:17.200,manual,-1.0,0.019
N4.P38B.BHZ.--,4.7694,37.5288,Pn,2014-04-09 03:37:18.740,manual,-0.7,0.016
N4.T42B.BHZ.--,5.12423,75.3855,Pn,2014-04-09 03:37:22.820,manual,-1.5,0.019
N4.N35B.BHZ.--,5.12624,14.1474,Pn,2014-04-09 03:37:24.700,manual,0.3,0.015
