#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000r9bs
#time = 2014-05-30 22:44:56.700000
#location = 12km NW of Enid, Oklahoma
#latitude = 36.4797
#longitude = -97.9665
#depth = 4.5
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000r9bs
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.0284262,331.381,Pg,2014-05-30 22:44:58.170,manual,0.5,0.0
OK.KNG1.EHZ.--,0.410015,147.652,Pg,2014-05-30 22:45:04.920,manual,0.3,0.0
GS.KAN10.HHZ.01,0.650807,350.913,Pg,2014-05-30 22:45:09.430,manual,0.2,0.051
GS.KAN13.HHZ.01,0.661277,36.2663,Pg,2014-05-30 22:45:09.650,manual,0.3,0.099
OK.BCOK.HHZ.--,0.870783,160.484,Pg,2014-05-30 22:45:13.180,manual,-0.2,0.041
OK.QUOK.HHZ.--,1.06185,106.47,Pg,2014-05-30 22:45:16.800,manual,-0.3,0.099
OK.OKCSW.EHZ.--,1.15454,158.039,Pg,2014-05-30 22:45:18.300,automatic,-0.5,0.0
US.WMOK.BHZ.10,1.8603,201.132,Pn,2014-05-30 22:45:29.540,manual,0.2,0.034
GS.OK028.HHZ.00,1.17416,141.058,Pg,2014-05-30 22:45:18.750,manual,-0.5,0.036
AG.HHAR.HHZ.00,3.25508,92.2788,Pn,2014-05-30 22:45:48.490,automatic,0.0,0.023
OK.U32A.BHZ.--,0.840602,263.475,Pg,2014-05-30 22:45:12.560,manual,-0.3,0.102
US.MIAR.BHZ.00,4.06779,117.032,Pn,2014-05-30 22:46:00.200,automatic,0.6,0.016
N4.R32B.BHZ.--,2.02786,343.235,Pn,2014-05-30 22:45:32.570,automatic,0.9,0.037
NM.MGMO.BHZ.--,4.6209,79.9254,Pn,2014-05-30 22:46:07.940,manual,0.7,0.019
N4.U38B.BHZ.--,2.88688,89.7338,Pn,2014-05-30 22:45:43.650,automatic,0.2,0.025
N4.Q44B.BHZ.--,7.49668,68.4788,Pn,2014-05-30 22:46:47.470,manual,0.7,0.019
US.JCT.BHZ.00,6.17759,194.894,Pg,2014-05-30 22:46:49.320,automatic,4.5,0.0
US.SCIA.BHZ.00,6.5553,32.7856,Pg,2014-05-30 22:47:00.250,automatic,9.0,0.0
