#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000rk95
#time = 2014-06-23 07:40:12.300000
#location = 12km NW of Blackwell, Oklahoma
#latitude = 36.8851
#longitude = -97.3780
#depth = 6.8
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000rk95
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.617179,232.218,Pg,2014-06-23 07:40:24.220,manual,0.0,0.0
GS.OK025.HHZ.00,1.30174,178.561,Pn,2014-06-23 07:40:36.800,manual,-0.1,0.042
GS.OK027.HHZ.00,1.1732,176.245,Pg,2014-06-23 07:40:34.420,manual,-0.4,0.038
GS.OK028.HHZ.00,1.34586,168.941,Pn,2014-06-23 07:40:37.120,manual,-0.4,0.039
OK.OKCSW.EHZ.--,1.47735,181.902,Pn,2014-06-23 07:40:39.570,manual,0.2,0.042
GS.OK026.HHZ.00,1.46798,182.341,Pn,2014-06-23 07:40:39.290,manual,0.1,0.042
OK.FNO.HHZ.01,1.62443,180.67,Pn,2014-06-23 07:40:42.070,manual,0.7,0.04
OK.W35A.EHZ.--,1.77631,166.567,Pn,2014-06-23 07:40:43.870,manual,0.4,0.035
TA.TUL1.BHZ.--,1.60739,126.767,Pn,2014-06-23 07:40:41.780,manual,0.6,0.034
OK.U32A.BHZ.--,1.39994,249.358,Pn,2014-06-23 07:40:38.090,manual,-0.2,0.056
OK.X37A.BHZ.--,2.81297,143.935,Pn,2014-06-23 07:40:57.680,manual,0.0,0.025
GS.KAN13.HHZ.01,0.150544,327.952,Pg,2014-06-23 07:40:15.970,manual,0.5,0.0
OK.KAY1.HHZ.--,0.180624,132.511,Pg,2014-06-23 07:40:16.310,manual,0.3,0.0
NQ.KAN01.HNZ.01,0.406025,311.4,Pg,2014-06-23 07:40:20.500,manual,0.3,0.0
NQ.KAN05.HNZ.01,0.453434,299.533,Pg,2014-06-23 07:40:21.350,manual,0.3,0.0
GS.KAN10.HHZ.01,0.621421,292.73,Pg,2014-06-23 07:40:24.560,manual,0.3,0.0
N4.T35B.BHZ.--,0.694961,87.1802,Pg,2014-06-23 07:40:25.960,manual,0.3,0.087
