#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000rm2h
#time = 2014-06-25 19:55:17.600000
#location = 8km NE of Stillwater, Oklahoma
#latitude = 36.1671
#longitude = -96.9923
#depth = 5.0
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000rm2h
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
US.MIAR.BHZ.00,3.22672,119.097,Pn,2014-06-25 19:56:09.600,manual,0.7,0.024
AG.WHAR.HHZ.00,3.92518,101.501,Pg,2014-06-25 19:56:27.540,manual,0.3,0.006
N4.S39B.BHZ.--,3.31026,61.557,Pg,2014-06-25 19:56:17.540,manual,0.7,0.005
TA.U40A.BHZ.--,3.3501,85.5463,Pn,2014-06-25 19:56:10.680,manual,0.0,0.02
OK.W35A.EHZ.--,1.01674,174.551,Pg,2014-06-25 19:55:36.300,manual,-0.8,0.044
OK.U32A.BHZ.--,1.63729,278.032,Pn,2014-06-25 19:55:47.620,manual,0.5,0.031
OK.X37A.BHZ.--,2.05744,139.452,Pn,2014-06-25 19:55:54.190,manual,1.4,0.03
GS.OK028.HHZ.00,0.607311,185.323,Pg,2014-06-25 19:55:29.360,manual,0.1,0.0
GS.OK025.HHZ.00,0.648629,205.742,Pg,2014-06-25 19:55:30.230,manual,0.2,0.059
OK.BCOK.HHZ.--,0.714333,224.702,Pg,2014-06-25 19:55:31.320,manual,0.0,0.051
OK.CROK.HHZ.--,0.868287,293.125,Pg,2014-06-25 19:55:34.260,manual,0.0,0.067
N4.T35B.BHZ.--,0.841789,27.2179,Pg,2014-06-25 19:55:33.710,manual,0.0,0.043
AG.HHAR.HHZ.00,2.47063,86.4385,Pn,2014-06-25 19:55:58.510,manual,0.0,0.024
OK.QUOK.HHZ.--,0.230085,88.8477,Pg,2014-06-25 19:55:22.650,manual,0.5,0.0
