#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000rqbx
#time = 2014-07-03 20:14:54.300000
#location = 5km SW of Perkins, Oklahoma
#latitude = 35.9358
#longitude = -97.0745
#depth = 4.7
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000rqbx
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK025.HHZ.00,0.413722,211.263,Pg,2014-07-03 20:15:02.790,manual,0.5,0.0
GS.OK028.HHZ.00,0.374045,178.364,Pg,2014-07-03 20:15:02.080,manual,0.6,0.0
GS.OK027.HHZ.00,0.28062,217.33,Pg,2014-07-03 20:15:00.260,manual,0.5,0.0
OK.QUOK.HHZ.--,0.378787,51.5257,Pg,2014-07-03 20:15:02.120,manual,0.5,0.0
GS.OK026.HHZ.00,0.603252,210.686,Pg,2014-07-03 20:15:06.120,manual,0.2,0.0
OK.KNG1.EHZ.--,0.540194,291.467,Pg,2014-07-03 20:15:04.950,manual,0.3,0.0
OK.OKCSW.EHZ.--,0.606301,209.326,Pg,2014-07-03 20:15:05.610,manual,-0.3,0.0
OK.CROK.HHZ.--,0.928703,307.953,Pg,2014-07-03 20:15:11.920,manual,-0.2,0.087
OK.W35A.EHZ.--,0.798223,168.151,Pg,2014-07-03 20:15:09.230,manual,-0.4,0.079
OK.FNO.HHZ.01,0.727396,201.566,Pg,2014-07-03 20:15:08.400,manual,0.1,0.05
GS.KAN13.HHZ.01,1.12303,343.294,Pg,2014-07-03 20:15:15.480,manual,-0.4,0.077
GS.KAN11.HHZ.01,1.43631,332.207,Pn,2014-07-03 20:15:20.760,manual,-0.3,0.072
OK.X34A.HHZ.--,1.46916,205.195,Pn,2014-07-03 20:15:21.680,manual,0.2,0.065
N4.T35B.BHZ.--,1.07853,24.7127,Pg,2014-07-03 20:15:14.730,manual,-0.3,0.03
