#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000rqwr
#time = 2014-07-06 04:10:46.100000
#location = 6km SSW of Medford, Oklahoma
#latitude = 36.7497
#longitude = -97.7497
#depth = 4.8
#magnitude = 3.3
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000rqwr
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN13.HHZ.01,0.341385,39.6073,Pg,2014-07-06 04:10:53.310,manual,0.6,0.0
GS.KAN10.HHZ.01,0.46453,323.538,Pg,2014-07-06 04:10:55.600,manual,0.6,0.0
GS.OK027.HHZ.00,1.10201,159.865,Pg,2014-07-06 04:11:07.050,manual,-0.2,0.04
OK.BCOK.HHZ.--,1.09665,174.015,Pg,2014-07-06 04:11:06.790,manual,-0.3,0.039
GS.OK025.HHZ.00,1.21287,163.931,Pn,2014-07-06 04:11:08.950,automatic,-0.8,0.033
OK.OKCSW.EHZ.--,1.36497,169.247,Pn,2014-07-06 04:11:11.520,manual,-0.3,0.033
GS.OK028.HHZ.00,1.31043,154.641,Pn,2014-07-06 04:11:10.630,manual,-0.5,0.031
OK.W35A.EHZ.--,1.74467,155.724,Pn,2014-07-06 04:11:17.510,manual,0.4,0.028
GS.OK026.HHZ.00,1.35337,169.627,Pn,2014-07-06 04:11:11.440,manual,-0.3,0.033
US.WMOK.BHZ.10,2.17559,202.978,Pn,2014-07-06 04:11:23.500,manual,0.5,0.034
OK.FNO.HHZ.01,1.51575,169.153,Pn,2014-07-06 04:11:14.520,manual,0.6,0.031
US.KSU1.BHZ.10,2.51448,20.6667,Pn,2014-07-06 04:11:28.540,manual,0.9,0.026
OK.X34A.HHZ.--,2.14511,181.827,Pn,2014-07-06 04:11:24.050,manual,1.5,0.03
N4.T35B.BHZ.--,1.0069,80.1296,Pg,2014-07-06 04:11:05.320,manual,-0.1,0.062
US.AMTX.BHZ.00,3.6975,240.928,Pn,2014-07-06 04:11:45.320,manual,1.3,0.032
OK.U32A.BHZ.--,1.07332,250.239,Pg,2014-07-06 04:11:06.200,automatic,-0.5,0.053
OK.X37A.BHZ.--,2.8977,137.367,Pn,2014-07-06 04:11:33.770,manual,0.9,0.021
TA.TUL1.BHZ.--,1.78907,117.333,Pn,2014-07-06 04:11:18.290,manual,0.6,0.026
N4.R32B.BHZ.--,1.83623,335.715,Pn,2014-07-06 04:11:19.340,manual,1.0,0.04
N4.U38B.BHZ.--,2.72481,95.521,Pn,2014-07-06 04:11:31.570,manual,1.0,0.022
N4.S39B.BHZ.--,3.65634,73.7805,Pn,2014-07-06 04:11:43.700,manual,0.3,0.018
N4.N35B.BHZ.--,4.42295,21.1986,Pn,2014-07-06 04:11:55.020,automatic,1.1,0.018
N4.P38B.BHZ.--,4.39055,47.8941,Pn,2014-07-06 04:11:54.520,manual,1.1,0.017
N4.R40B.BHZ.--,4.62089,68.9006,Pn,2014-07-06 04:11:56.950,manual,0.3,0.016
TA.Z41A.BHZ.--,5.34904,129.185,Pg,2014-07-06 04:12:26.250,automatic,6.2,0.0
N4.L40A.BHZ.--,7.32572,41.5916,Pn,2014-07-06 04:12:33.720,automatic,0.0,0.016
NM.LPAR.HHZ.00,6.13365,98.5432,LR,2014-07-06 04:14:02.190,automatic,0.0,0.0
US.SCIA.BHZ.00,6.2343,32.9116,LR,2014-07-06 04:14:06.650,automatic,0.0,0.0
TA.435B.BHZ.--,5.95319,178.633,LR,2014-07-06 04:13:53.920,automatic,0.0,0.0
US.OXF.BHZ.00,7.14904,105.729,LR,2014-07-06 04:14:30.750,automatic,0.0,0.0
SC.BAR.EHZ.--,7.69499,252.927,LR,2014-07-06 04:14:49.500,automatic,0.0,0.0
US.HDIL.BHZ.00,7.62887,57.5472,Lg,2014-07-06 04:14:53.620,automatic,-1.9,0.0
N4.I37B.BHZ.--,7.97853,23.2113,LR,2014-07-06 04:15:00.500,automatic,0.0,0.0
N4.Y45B.BHZ.--,7.29953,110.793,LR,2014-07-06 04:14:40.470,automatic,0.0,0.0
TA.833A.BHZ.--,8.51576,189.838,Lg,2014-07-06 04:15:21.320,automatic,-3.2,0.0
N4.Z47B.BHZ.--,8.69736,111.185,Lg,2014-07-06 04:15:26.600,automatic,-3.9,0.0
OK.CROK.HHZ.--,0.308436,217.624,Pg,2014-07-06 04:10:52.330,manual,0.2,0.0
GS.KAN11.HHZ.01,0.473915,344.001,Pg,2014-07-06 04:10:55.250,manual,0.0,0.0
OK.KAY1.HHZ.--,0.431871,88.1175,Pg,2014-07-06 04:10:54.710,manual,0.3,0.0
OK.KNG1.EHZ.--,0.617713,175.927,Pg,2014-07-06 04:10:57.610,manual,-0.4,0.0
GS.OK029.HHZ.00,0.980538,165.852,Pg,2014-07-06 04:11:04.170,manual,-0.7,0.046
GS.KAN12.HHZ.01,0.581678,340.098,Pg,2014-07-06 04:10:56.820,manual,-0.5,0.0
OK.QUOK.HHZ.--,1.01898,124.189,Pg,2014-07-06 04:11:04.860,manual,-0.8,0.055
NM.MGMO.BHZ.--,4.40858,83.1046,Pn,2014-07-06 04:11:54.080,manual,0.4,0.016
TA.U40A.BHZ.--,3.96155,94.2252,Pn,2014-07-06 04:11:48.280,manual,0.7,0.017
US.MIAR.BHZ.00,4.04787,121.678,Pn,2014-07-06 04:11:49.620,manual,0.9,0.016
N4.N33B.BHZ.--,3.98835,3.26356,Pn,2014-07-06 04:11:49.130,manual,1.2,0.022
N4.Z38B.BHZ.--,4.15553,146.101,Pn,2014-07-06 04:11:50.380,manual,0.2,0.016
TA.ABTX.BHZ.--,4.40158,201.305,Pn,2014-07-06 04:11:53.950,manual,0.3,0.022
TA.KSCO.BHZ.--,4.47044,301.808,Pn,2014-07-06 04:11:54.560,manual,-0.1,0.028
TA.X40A.BHZ.--,4.59643,117.96,Pn,2014-07-06 04:11:55.370,manual,-0.9,0.015
AG.FCAR.HHZ.00,4.62297,99.0182,Pn,2014-07-06 04:11:58.340,manual,1.7,0.015
AG.WHAR.HHZ.00,4.65957,106.594,Pn,2014-07-06 04:11:57.170,manual,0.0,0.015
TA.W41B.BHZ.--,4.73159,107.78,Pn,2014-07-06 04:11:57.880,manual,-0.2,0.015
GS.OK025.HHZ.00,1.21287,163.931,Pg,2014-07-06 04:11:08.340,manual,-1.0,0.034
US.CBKS.BHZ.00,2.59354,323.217,Pn,2014-07-06 04:11:30.310,manual,1.5,0.036
AG.HHAR.HHZ.00,3.10416,97.5108,Pn,2014-07-06 04:11:36.240,manual,0.5,0.02
TA.W39A.BHZ.--,3.57056,114.558,Pn,2014-07-06 04:11:42.860,manual,0.7,0.018
US.SDCO.BHZ.00,6.263,281.464,Pn,2014-07-06 04:12:19.360,manual,-0.1,0.0
TA.BGNE.BHZ.--,4.66251,356.292,Pn,2014-07-06 04:11:55.880,manual,-1.3,0.02
AG.WLAR.HHZ.00,4.87231,127.459,Pn,2014-07-06 04:11:58.640,manual,-1.4,0.014
N4.P40B.BHZ.--,5.28179,56.5704,Pn,2014-07-06 04:12:06.840,manual,1.1,0.014
N4.237B.BHZ.--,5.00097,160.718,Pn,2014-07-06 04:12:02.470,manual,0.6,0.015
TA.Z41A.BHZ.--,5.34904,129.185,Pn,2014-07-06 04:12:08.320,manual,1.7,0.013
N4.L34B.BHZ.--,5.31743,11.1198,Pn,2014-07-06 04:12:07.730,manual,1.5,0.016
IU.CCM.BHZ.10,5.34057,73.9121,Pn,2014-07-06 04:12:06.800,manual,0.3,0.014
TA.T25A.BHZ.--,5.34957,276.161,Pn,2014-07-06 04:12:06.530,manual,-0.3,0.026
N4.N38B.BHZ.--,5.36081,39.7622,Pn,2014-07-06 04:12:06.940,manual,0.2,0.015
AG.CCAR.HHZ.00,5.64419,118.285,Pn,2014-07-06 04:12:11.880,manual,1.2,0.012
N4.K31B.BHZ.--,5.91672,352.787,Pn,2014-07-06 04:12:14.170,manual,-0.3,0.017
TA.435B.BHZ.--,5.95319,178.633,Pn,2014-07-06 04:12:14.780,manual,-0.1,0.015
TA.X43A.BHZ.--,6.02008,109.675,Pn,2014-07-06 04:12:16.280,manual,0.5,0.013
NM.LPAR.HHZ.00,6.13365,98.5432,Pn,2014-07-06 04:12:17.870,manual,0.5,0.013
US.SCIA.BHZ.00,6.2343,32.9116,Pn,2014-07-06 04:12:19.230,manual,0.5,0.015
NM.GNAR.HHZ.00,6.28844,94.8468,Pn,2014-07-06 04:12:20.010,manual,0.5,0.013
NM.PEBM.HHZ.00,6.39101,93.3509,Pn,2014-07-06 04:12:22.730,manual,1.8,0.013
US.JCT.BHZ.00,6.4837,195.894,Pn,2014-07-06 04:12:22.360,manual,0.1,0.018
NM.LNXT.HHZ.00,6.69019,93.087,Pn,2014-07-06 04:12:27.360,manual,2.3,0.014
N4.S44A.BHZ.--,6.84354,79.5317,Pn,2014-07-06 04:12:27.430,manual,0.3,0.014
NM.HICK.HHZ.00,6.85378,89.1919,Pn,2014-07-06 04:12:26.490,manual,-0.8,0.014
US.ISCO.BHZ.00,6.89429,298.598,Pn,2014-07-06 04:12:28.850,manual,0.7,0.026
N4.K38B.BHZ.--,7.02885,31.5456,Pn,2014-07-06 04:12:30.920,manual,1.2,0.016
US.ECSD.BHZ.10,7.02986,6.73974,Pn,2014-07-06 04:12:30.220,manual,0.5,0.018
N4.P43A.BHZ.--,7.09316,63.4914,Pn,2014-07-06 04:12:30.130,manual,-0.4,0.015
SC.GDL2.EHZ.--,7.09937,232.202,Pn,2014-07-06 04:12:31.710,manual,0.9,0.025
N4.W45B.BHZ.--,7.12507,100.345,Pn,2014-07-06 04:12:31.480,manual,0.5,0.014
US.OXF.BHZ.00,7.14904,105.729,Pn,2014-07-06 04:12:31.530,manual,0.2,0.014
TA.WHTX.BHZ.--,4.75294,176.987,Pg,2014-07-06 04:12:12.570,automatic,2.7,0.004
IM.TX31.BHZ.--,8.90586,215.568,Pn,2014-07-06 04:12:54.850,manual,-0.7,0.0
N4.Q44B.BHZ.--,7.2382,70.0802,Pn,2014-07-06 04:12:32.860,manual,0.3,0.015
N4.Y45B.BHZ.--,7.29953,110.793,Pn,2014-07-06 04:12:32.940,manual,-0.5,0.015
IU.ANMO.BHZ.10,7.29664,258.305,Pn,2014-07-06 04:12:34.550,manual,1.0,0.028
IW.PHWY.BHZ.00,7.52539,309.511,Pn,2014-07-06 04:12:35.890,manual,-0.9,0.027
TA.N23A.BHZ.--,7.6173,305.41,Pn,2014-07-06 04:12:38.440,manual,0.4,0.027
US.HDIL.BHZ.00,7.62887,57.5472,Pn,2014-07-06 04:12:38.290,manual,0.4,0.016
SC.BAR.EHZ.--,7.69499,252.927,Pn,2014-07-06 04:12:39.990,manual,0.9,0.029
TA.SUSD.BHZ.--,7.73955,353.574,Pn,2014-07-06 04:12:41.030,manual,1.6,0.021
N4.I37B.BHZ.--,7.97853,23.2113,Pn,2014-07-06 04:12:45.320,manual,2.6,0.018
IU.WVT.BHZ.10,8.01938,91.4613,Pn,2014-07-06 04:12:46.060,manual,2.8,0.016
N4.O44A.BHZ.--,8.03586,62.1665,Pn,2014-07-06 04:12:44.110,manual,0.6,0.017
NM.PLAL.BHZ.00,8.04947,99.7808,Pn,2014-07-06 04:12:45.640,manual,1.9,0.016
US.MNTX.BHZ.00,8.08102,233.656,Pn,2014-07-06 04:12:44.140,manual,0.0,0.028
N4.L42A.BHZ.--,8.16527,47.538,Pn,2014-07-06 04:12:44.400,manual,-0.9,0.017
US.JFWS.BHZ.10,8.43549,40.8206,Pn,2014-07-06 04:12:48.650,manual,-0.3,0.018
N4.T47A.BHZ.--,8.53491,85.2088,Pn,2014-07-06 04:12:50.300,manual,0.0,0.017
IU.RSSD.BHZ.10,8.78253,328.911,Pn,2014-07-06 04:12:54.250,manual,0.3,0.028
IU.ANMO.BHZ.10,7.29664,258.305,Pg,2014-07-06 04:12:53.400,manual,0.0,0.005
IM.TXAR.SHZ.FB,8.90583,215.563,Pn,2014-07-06 04:12:55.350,manual,-0.2,0.027
IM.TXAR.SHZ.FB,8.90583,215.563,Pn,2014-07-06 04:13:23.350,manual,0.0,0.0
IM.PDAR.SHZ.FB,10.8911,307.116,Pn,2014-07-06 04:13:21.810,manual,-1.0,0.023
IM.PDAR.SHZ.FB,10.8911,307.116,PbPb,2014-07-06 04:14:06.110,manual,0.0,0.0
IM.ILAR.SHZ.FB,40.2295,329.911,P,2014-07-06 04:18:24.070,manual,0.7,0.028
