#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000suv5
#time = 2014-11-06 01:35:02.790000
#location = 6km N of Anthony, Kansas
#latitude = 37.2082
#longitude = -98.0390
#depth = 10.7
#magnitude = 3.2
#magtype = mb_lg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000suv5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN08.HHZ.01,0.0574151,71.2166,Pg,2014-11-06 01:35:04.790,manual,-0.2,0.0
GS.KAN12.HHZ.01,0.094861,20.1617,Pg,2014-11-06 01:35:05.610,manual,0.2,0.0
GS.KAN11.HHZ.01,0.100385,91.2139,Pg,2014-11-06 01:35:05.400,manual,-0.1,0.0
GS.KAN10.HHZ.01,0.0956855,207.944,Pg,2014-11-06 01:35:05.450,manual,0.0,0.0
GS.KAN05.HHZ.01,0.166194,126.69,Pg,2014-11-06 01:35:06.550,manual,0.1,0.0
GS.KAN14.HHZ.01,0.258191,166.361,Pg,2014-11-06 01:35:08.260,manual,0.2,0.0
US.CBKS.BHZ.00,2.09034,320.597,Pn,2014-11-06 01:35:38.090,manual,0.2,0.014
US.KSU1.BHZ.10,2.20015,30.3736,Pn,2014-11-06 01:35:40.940,manual,1.6,0.025
OK.FNO.HHZ.01,2.01394,164.975,Pn,2014-11-06 01:35:36.760,manual,0.0,0.02
N4.T35B.BHZ.--,1.25583,102.959,Pn,2014-11-06 01:35:26.250,manual,-0.1,0.028
AG.HHAR.HHZ.00,3.4194,104.45,Pn,2014-11-06 01:35:56.320,manual,0.2,0.018
US.AMTX.BHZ.00,3.75332,232.917,Pn,2014-11-06 01:36:00.760,manual,0.0,0.011
OK.X37A.BHZ.--,3.39399,139.559,Pn,2014-11-06 01:35:55.560,manual,-0.2,0.016
US.MIAR.BHZ.00,4.49298,124.923,Pn,2014-11-06 01:36:11.620,manual,0.8,0.013
