#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000svxg
#time = 2014-11-10 02:18:03.900000
#location = 16km ESE of Medford, Oklahoma
#latitude = 36.7543
#longitude = -97.5633
#depth = 4.6
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000svxg
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN14.HHZ.01,0.37898,302.349,Pg,2014-11-10 02:18:11.670,manual,0.5,0.0
OK.GC02.EHZ.--,0.256841,292.282,Pg,2014-11-10 02:18:09.360,manual,0.5,0.0
OK.CROK.HHZ.--,0.41983,233.729,Pg,2014-11-10 02:18:12.310,manual,0.3,0.0
GS.KAN11.HHZ.01,0.530869,328.238,Pg,2014-11-10 02:18:14.560,manual,0.4,0.0
GS.OK027.HHZ.00,1.06447,167.652,Pg,2014-11-10 02:18:23.980,manual,-0.3,0.033
GS.OK031.HHZ.00,0.990507,143.612,Pg,2014-11-10 02:18:22.680,manual,-0.2,0.031
GS.OK030.HHZ.00,1.03751,142.424,Pg,2014-11-10 02:18:23.560,manual,-0.2,0.029
GS.OK028.HHZ.00,1.25811,161.016,Pg,2014-11-10 02:18:27.210,manual,-0.8,0.024
TA.TUL1.BHZ.--,1.65986,119.962,Pn,2014-11-10 02:18:33.760,manual,0.0,0.065
OK.KAY1.HHZ.--,0.282092,88.1919,Pg,2014-11-10 02:18:09.740,manual,0.4,0.0
GS.KAN13.HHZ.01,0.267061,14.8487,Pg,2014-11-10 02:18:09.580,manual,0.5,0.0
GS.KAN09.HHZ.01,0.383622,353.421,Pg,2014-11-10 02:18:11.810,manual,0.5,0.0
GS.KAN05.HHZ.01,0.431694,325.095,Pg,2014-11-10 02:18:12.560,manual,0.3,0.0
GS.KAN10.HHZ.01,0.56333,311.015,Pg,2014-11-10 02:18:15.040,manual,0.3,0.0
GS.KAN08.HHZ.01,0.573439,325.434,Pg,2014-11-10 02:18:15.300,manual,0.4,0.0
N4.T35B.BHZ.--,0.858859,78.8405,Pg,2014-11-10 02:18:20.290,manual,-0.1,0.057
GS.KAN12.HHZ.01,0.644117,327.44,Pg,2014-11-10 02:18:16.540,manual,0.3,0.047
GS.OK029.HHZ.00,0.959758,174.731,Pg,2014-11-10 02:18:22.040,manual,-0.3,0.041
OK.BCOK.HHZ.--,1.09598,181.959,Pg,2014-11-10 02:18:24.590,manual,-0.3,0.036
GS.OK025.HHZ.00,1.18491,171.079,Pg,2014-11-10 02:18:26.170,manual,-0.5,0.029
OK.U32A.BHZ.--,1.21669,252.524,Pg,2014-11-10 02:18:26.650,manual,-0.6,0.036
GS.OK026.HHZ.00,1.33929,176.086,Pn,2014-11-10 02:18:28.820,manual,-0.5,0.069
OK.OKCSW.EHZ.--,1.34982,175.651,Pn,2014-11-10 02:18:28.900,manual,-0.6,0.069
OK.FNO.HHZ.01,1.49954,174.924,Pn,2014-11-10 02:18:31.550,manual,0.0,0.066
OK.W35A.EHZ.--,1.69311,160.523,Pn,2014-11-10 02:18:34.190,manual,0.0,0.061
N4.R32B.BHZ.--,1.89853,331.647,Pn,2014-11-10 02:18:37.670,manual,0.6,0.09
US.WMOK.BHZ.10,2.24251,206.563,Pn,2014-11-10 02:18:41.850,manual,0.1,0.064
