#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000sy6l
#time = 2014-11-16 13:39:36.400000
#location = 16km SSW of Medford, Oklahoma
#latitude = 36.6734
#longitude = -97.8074
#depth = 4.9
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000sy6l
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN14.HHZ.01,0.30919,336.228,Pg,2014-11-16 13:39:42.830,manual,0.4,0.0
OK.GC02.EHZ.--,0.182632,346.748,Pg,2014-11-16 13:39:40.510,manual,0.5,0.0
OK.CROK.HHZ.--,0.220029,220.126,Pg,2014-11-16 13:39:41.100,manual,0.4,0.0
GS.OK028.HHZ.00,1.2637,151.226,Pg,2014-11-16 13:40:00.030,manual,-0.6,0.026
OK.OKCSW.EHZ.--,1.30019,166.578,Pn,2014-11-16 13:40:00.690,manual,-0.6,0.087
GS.KAN10.HHZ.01,0.504987,332.912,Pg,2014-11-16 13:39:46.450,manual,0.3,0.0
GS.OK029.HHZ.00,0.92025,161.855,Pg,2014-11-16 13:39:53.710,manual,-0.3,0.036
GS.OK031.HHZ.00,1.06224,132.3,Pg,2014-11-16 13:39:56.520,manual,-0.3,0.045
OK.BCOK.HHZ.--,1.02719,170.963,Pg,2014-11-16 13:39:55.690,manual,-0.4,0.027
OK.QUOK.HHZ.--,1.01847,119.139,Pg,2014-11-16 13:39:55.630,manual,-0.3,0.057
GS.OK025.HHZ.00,1.15441,160.637,Pg,2014-11-16 13:39:58.150,manual,-0.4,0.026
GS.OK026.HHZ.00,1.2882,166.953,Pn,2014-11-16 13:40:00.430,manual,-0.7,0.087
OK.FNO.HHZ.01,1.45094,166.753,Pn,2014-11-16 13:40:02.850,manual,-0.5,0.083
OK.W35A.EHZ.--,1.69594,153.204,Pn,2014-11-16 13:40:06.590,manual,-0.1,0.079
N4.T35B.BHZ.--,1.06776,76.4949,Pg,2014-11-16 13:39:56.580,manual,-0.3,0.059
OK.U32A.BHZ.--,1.00548,253.395,Pg,2014-11-16 13:39:55.110,manual,-0.6,0.061
N4.R32B.BHZ.--,1.88798,337.914,Pn,2014-11-16 13:40:10.000,manual,0.6,0.117
TA.TUL1.BHZ.--,1.79752,114.463,Pn,2014-11-16 13:40:08.850,manual,0.8,0.086
GS.KAN13.HHZ.01,0.429807,37.8665,Pg,2014-11-16 13:39:45.200,manual,0.5,0.0
GS.KAN05.HHZ.01,0.43748,353.189,Pg,2014-11-16 13:39:45.250,manual,0.4,0.0
GS.KAN09.HHZ.01,0.486063,18.1138,Pg,2014-11-16 13:39:46.170,manual,0.4,0.0
OK.KAY1.HHZ.--,0.486485,79.2657,Pg,2014-11-16 13:39:46.070,manual,0.3,0.0
NQ.KAN02.HNZ.01,0.52642,353.792,Pg,2014-11-16 13:39:47.050,manual,0.5,0.0
GS.KAN11.HHZ.01,0.538325,350.964,Pg,2014-11-16 13:39:47.130,manual,0.4,0.0
