#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000sya5
#time = 2014-11-16 12:18:09.100000
#location = 13km WNW of Medford, Oklahoma
#latitude = 36.8458
#longitude = -97.8716
#depth = 5.1
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000sya5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GC02.EHZ.--,0.0111836,59.4009,Pg,2014-11-16 12:18:10.280,manual,0.2,0.0
OK.CROK.HHZ.--,0.352101,194.823,Pg,2014-11-16 12:18:15.990,manual,0.1,0.0
GS.KAN09.HHZ.01,0.353681,34.9124,Pg,2014-11-16 12:18:16.560,manual,0.6,0.0
GS.KAN10.HHZ.01,0.329937,327.218,Pg,2014-11-16 12:18:14.210,manual,-1.3,0.0
OK.QUOK.HHZ.--,1.15406,125.329,Pg,2014-11-16 12:18:31.250,manual,0.0,0.037
OK.FNO.HHZ.01,1.63027,166.339,Pn,2014-11-16 12:18:38.360,manual,-0.1,0.019
US.WMOK.BHZ.10,2.22943,199.628,Pn,2014-11-16 12:18:47.700,manual,1.0,0.02
OK.W35A.EHZ.--,1.87302,154.132,Pn,2014-11-16 12:18:41.560,manual,-0.2,0.019
TA.TUL1.BHZ.--,1.92043,118.464,Pn,2014-11-16 12:18:42.590,manual,0.1,0.025
N4.R32B.BHZ.--,1.70925,337.306,Pn,2014-11-16 12:18:39.920,manual,0.3,0.035
N4.T35B.BHZ.--,1.09247,85.9044,Pg,2014-11-16 12:18:29.860,manual,-0.2,0.053
AG.HHAR.HHZ.00,3.21471,98.9047,Pn,2014-11-16 12:19:03.150,manual,2.9,0.022
N4.U38B.BHZ.--,2.83269,97.1889,Pn,2014-11-16 12:18:56.670,manual,1.7,0.024
GS.KAN14.HHZ.01,0.132825,326.551,Pg,2014-11-16 12:18:12.430,manual,0.6,0.0
GS.KAN11.HHZ.01,0.361077,354.709,Pg,2014-11-16 12:18:15.040,manual,-1.0,0.0
GS.KS20.HHZ.00,0.459666,33.4326,Pg,2014-11-16 12:18:18.480,manual,0.5,0.0
GS.KAN12.HHZ.01,0.461964,347.397,Pg,2014-11-16 12:18:17.680,manual,-0.3,0.0
OK.U32A.BHZ.--,1.02123,243.227,Pg,2014-11-16 12:18:28.510,manual,-0.2,0.055
GS.OK029.HHZ.00,1.09982,162.059,Pg,2014-11-16 12:18:29.910,manual,-0.3,0.027
OK.BCOK.HHZ.--,1.20547,169.792,Pg,2014-11-16 12:18:31.610,manual,-0.6,0.023
GS.OK031.HHZ.00,1.21967,136.616,Pg,2014-11-16 12:18:32.300,manual,-0.2,0.03
GS.OK030.HHZ.00,1.26877,135.902,Pn,2014-11-16 12:18:32.660,manual,-0.8,0.025
GS.OK025.HHZ.00,1.33386,160.963,Pn,2014-11-16 12:18:33.890,manual,-0.5,0.021
GS.OK028.HHZ.00,1.43981,152.687,Pn,2014-11-16 12:18:35.510,manual,-0.3,0.021
OK.GC02.EHN.--,0.0111836,59.4009,Sg,2014-11-16 12:18:11.160,manual,0.4,0.149
GS.KAN14.HNN.01,0.132825,326.551,Sg,2014-11-16 12:18:14.590,manual,1.0,0.067
GS.KAN10.HHN.01,0.329937,327.218,Sg,2014-11-16 12:18:20.680,manual,0.9,0.061
OK.CROK.HHN.--,0.352101,194.823,Sg,2014-11-16 12:18:17.020,manual,-3.5,0.074
GS.KAN09.HNE.01,0.353681,34.9124,Sg,2014-11-16 12:18:21.370,manual,0.8,0.083
GS.KAN11.HHE.01,0.361077,354.709,Sg,2014-11-16 12:18:18.150,manual,-2.7,0.052
GS.KS20.HH1.00,0.459666,33.4326,Sg,2014-11-16 12:18:24.340,manual,0.4,0.075
GS.KAN12.HNE.01,0.461964,347.397,Sg,2014-11-16 12:18:24.870,manual,0.8,0.048
OK.U32A.BHN.--,1.02123,243.227,Sg,2014-11-16 12:18:41.790,manual,-0.2,0.069
N4.T35B.BHE.--,1.09247,85.9044,Sg,2014-11-16 12:18:43.870,manual,-0.4,0.069
OK.QUOK.HHN.--,1.15406,125.329,Sg,2014-11-16 12:18:45.050,manual,-1.2,0.05
OK.BCOK.HHE.--,1.20547,169.792,Sg,2014-11-16 12:18:46.510,manual,-1.3,0.033
GS.OK031.HH2.00,1.21967,136.616,Sg,2014-11-16 12:18:47.990,manual,-0.3,0.042
OK.X37A.BHZ.--,3.03455,137.163,Pn,2014-11-16 12:18:59.340,manual,1.6,0.016
TA.W39A.BHZ.--,3.69968,115.207,Pn,2014-11-16 12:19:10.410,manual,3.5,0.018
N4.S39B.BHZ.--,3.72535,75.5428,Pn,2014-11-16 12:19:11.240,manual,4.0,0.023
ZW.AZDA.EHZ.01,3.87269,176.06,Pn,2014-11-16 12:19:12.790,manual,3.5,0.012
TA.U40A.BHZ.--,4.06711,95.3972,Pn,2014-11-16 12:19:10.670,manual,-1.3,0.019
US.MIAR.BHZ.00,4.1816,122.02,Pn,2014-11-16 12:19:14.400,manual,0.9,0.015
N4.R40B.BHZ.--,4.67924,70.3519,Pn,2014-11-16 12:19:21.000,manual,0.6,0.02
AG.WHAR.HHZ.00,4.78112,107.286,Pn,2014-11-16 12:19:20.960,manual,-0.8,0.016
TA.W41B.BHZ.--,4.85441,108.432,Pn,2014-11-16 12:19:19.570,manual,-3.2,0.015
AG.FCAR.HHZ.00,4.73526,99.9046,Pn,2014-11-16 12:19:18.170,manual,-3.0,0.017
TA.X40A.BHZ.--,4.72797,118.358,Pn,2014-11-16 12:19:21.670,manual,0.6,0.014
N4.P40B.BHZ.--,5.31222,57.9385,Pn,2014-11-16 12:19:26.340,manual,-2.7,0.018
AG.LCAR.HHZ.00,5.46958,96.1294,Pn,2014-11-16 12:19:28.020,manual,-3.2,0.015
IU.CCM.BHZ.10,5.40925,75.0994,Pn,2014-11-16 12:19:30.310,manual,-0.1,0.017
N4.143B.BHZ.--,6.73717,125.936,Pn,2014-11-16 12:19:46.870,manual,-1.8,0.013
NM.HICK.HHZ.00,6.95089,89.9175,Pn,2014-11-16 12:19:49.090,manual,-2.5,0.017
