#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000t4jm
#time = 2014-12-08 00:06:18.200000
#location = 17km ESE of Medford, Oklahoma
#latitude = 36.7527
#longitude = -97.5543
#depth = 5.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000t4jm
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN13.HHZ.01,0.266852,13.2655,Pg,2014-12-08 00:06:23.910,manual,0.5,3.0
OK.GC02.EHZ.--,0.26414,292.013,Pg,2014-12-08 00:06:23.840,manual,0.5,3.01
OK.CROK.HHZ.--,0.424752,234.485,Pg,2014-12-08 00:06:26.810,manual,0.4,2.47
GS.KAN12.HHZ.01,0.649374,326.984,Pg,2014-12-08 00:06:30.750,manual,0.1,1.97
GS.OK025.HHZ.00,1.18223,171.418,Pg,2014-12-08 00:06:40.560,manual,-0.3,1.34
OK.OKCSW.EHZ.--,1.3477,175.957,Pn,2014-12-08 00:06:43.310,manual,-0.4,1.23
OK.W35A.EHZ.--,1.68921,160.742,Pn,2014-12-08 00:06:48.690,automatic,0.3,1.18
OK.FNO.HHZ.01,1.49733,175.199,Pn,2014-12-08 00:06:45.770,manual,0.0,1.2
US.WMOK.BHZ.10,2.24433,206.752,Pn,2014-12-08 00:06:56.770,automatic,0.7,1.11
N4.T35B.BHZ.--,0.852079,78.6466,Pg,2014-12-08 00:06:34.480,manual,-0.1,1.67
AG.HHAR.HHZ.00,2.94908,98.0867,Pn,2014-12-08 00:07:05.080,manual,-0.6,1.03
TA.U40A.BHZ.--,3.8053,94.5632,Pg,2014-12-08 00:07:26.770,automatic,0.9,0.52
N4.U38B.BHZ.--,2.56897,96.0444,Pn,2014-12-08 00:07:01.240,manual,0.7,1.07
TA.TUL1.BHZ.--,1.6528,120.045,Pn,2014-12-08 00:06:48.420,automatic,0.5,1.18
N4.S39B.BHZ.--,3.505,73.2313,Pg,2014-12-08 00:07:22.420,automatic,1.7,0.55
OK.GC02.EHN.--,0.26414,292.013,Sg,2014-12-08 00:06:27.760,manual,0.9,1.29
GS.KAN13.HNE.01,0.266852,13.2655,Sg,2014-12-08 00:06:27.890,manual,1.0,1.29
GS.KAN14.HHZ.01,0.38595,301.98,Pg,2014-12-08 00:06:25.880,manual,0.2,2.58
GS.KAN14.HNE.01,0.38595,301.98,Sg,2014-12-08 00:06:31.560,manual,0.9,1.23
OK.CROK.HHE.--,0.424752,234.485,Sg,2014-12-08 00:06:32.720,manual,0.8,1.21
GS.KAN01.HNE.01,0.432257,337.768,Sg,2014-12-08 00:06:33.170,manual,1.0,1.21
GS.KAN01.HHZ.01,0.432257,337.768,Pg,2014-12-08 00:06:27.060,manual,0.5,2.45
GS.KAN05.HHZ.01,0.437168,324.443,Pg,2014-12-08 00:06:27.030,manual,0.4,2.44
GS.KS20.HHZ.00,0.476104,0.0,Pg,2014-12-08 00:06:27.680,manual,0.3,2.34
GS.KS20.HH1.00,0.476104,0.0,Sg,2014-12-08 00:06:34.500,manual,0.9,1.19
GS.KAN11.HHZ.01,0.536057,327.676,Pg,2014-12-08 00:06:28.930,manual,0.4,2.2
GS.KAN11.HNE.01,0.536057,327.676,Sg,2014-12-08 00:06:36.550,manual,1.1,1.16
GS.KAN10.HHZ.01,0.569844,310.665,Pg,2014-12-08 00:06:29.530,manual,0.4,2.12
GS.KAN10.HHN.01,0.569844,310.665,Sg,2014-12-08 00:06:37.430,manual,0.9,1.15
GS.KAN08.HHZ.01,0.578877,324.94,Pg,2014-12-08 00:06:29.550,manual,0.2,2.11
GS.KAN08.HNE.01,0.578877,324.94,Sg,2014-12-08 00:06:38.070,manual,1.2,1.14
OK.QUOK.HHZ.--,0.895552,130.124,Pg,2014-12-08 00:06:35.210,manual,-0.2,1.62
GS.OK031.HHZ.00,0.984946,143.901,Pg,2014-12-08 00:06:36.980,manual,-0.1,1.52
GS.OK030.HHZ.00,1.03185,142.693,Pg,2014-12-08 00:06:37.730,manual,-0.3,1.47
OK.BCOK.HHZ.--,1.09466,182.345,Pg,2014-12-08 00:06:38.920,manual,-0.3,1.41
OK.U32A.BHZ.--,1.22311,252.703,Pg,2014-12-08 00:06:41.320,manual,-0.3,1.3
GS.OK026.HHZ.00,1.33723,176.396,Pn,2014-12-08 00:06:43.240,manual,-0.3,1.23
N4.R32B.BHZ.--,1.90338,331.483,Pn,2014-12-08 00:06:52.080,manual,0.7,1.15
