#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000t4mv
#time = 2014-12-08 21:13:36.600000
#location = 18km NW of Blackwell, Oklahoma
#latitude = 36.9371
#longitude = -97.4043
#depth = 5.3
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000t4mv
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN13.HHZ.01,0.0958602,322.14,Pg,2014-12-08 21:13:39.260,manual,0.6,3.91
GS.KS20.HHZ.00,0.315732,337.716,Pg,2014-12-08 21:13:43.250,manual,0.5,2.81
OK.GC02.EHZ.--,0.374867,256.963,Pg,2014-12-08 21:13:44.140,manual,0.3,2.62
OK.U32A.BHZ.--,1.39964,247.05,Pn,2014-12-08 21:14:02.450,manual,-0.3,1.22
GS.KAN13.HHE.01,0.0958602,322.14,Sg,2014-12-08 21:13:40.820,manual,0.7,1.38
OK.KAY1.HHN.--,0.232473,138.426,Sg,2014-12-08 21:13:44.690,manual,0.4,1.31
OK.KAY1.HHZ.--,0.232473,138.426,Pg,2014-12-08 21:13:41.470,manual,0.3,3.15
GS.KS20.HH2.00,0.315732,337.716,Sg,2014-12-08 21:13:47.760,manual,0.9,1.26
GS.KAN01.HHZ.01,0.356587,307.369,Pg,2014-12-08 21:13:43.930,manual,0.4,2.67
GS.KAN01.HHN.01,0.356587,307.369,Sg,2014-12-08 21:13:49.040,manual,0.9,1.24
GS.KAN05.HHZ.01,0.411821,294.702,Pg,2014-12-08 21:13:44.870,manual,0.3,2.51
GS.KAN05.HHN.01,0.411821,294.702,Sg,2014-12-08 21:13:50.740,manual,0.8,1.22
GS.KAN14.HHZ.01,0.44802,272.683,Pg,2014-12-08 21:13:45.470,manual,0.2,2.41
GS.KAN14.HHN.01,0.44802,272.683,Sg,2014-12-08 21:13:51.800,manual,0.7,1.2
