#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000t4rh
#time = 2014-12-09 06:28:33.100000
#location = 14km NNE of Chandler, Oklahoma
#latitude = 35.8188
#longitude = -96.8213
#depth = 6.0
#magnitude = 3.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000t4rh
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.13479,353.847,Pg,2014-12-09 06:28:36.380,automatic,0.5,3.66
GS.OK025.HHZ.00,0.482764,240.724,Pg,2014-12-09 06:28:42.890,manual,0.5,2.32
OK.QUOK.HHZ.--,0.363655,14.6009,Pg,2014-12-09 06:28:40.600,manual,0.4,2.65
GS.OK029.HHZ.00,0.515498,267.722,Pg,2014-12-09 06:28:43.380,automatic,0.3,2.24
GS.OK026.HHZ.00,0.652437,232.079,Pg,2014-12-09 06:28:45.610,automatic,0.0,1.97
OK.OKCSW.EHZ.--,0.650066,230.804,Pg,2014-12-09 06:28:45.510,automatic,-0.1,1.97
OK.BCOK.HHZ.--,0.66117,256.069,Pg,2014-12-09 06:28:45.940,manual,0.1,1.95
OK.W35A.EHZ.--,0.666049,183.753,Pg,2014-12-09 06:28:45.950,automatic,0.0,1.94
OK.KAY1.HHZ.--,0.99351,341.581,Pg,2014-12-09 06:28:51.930,manual,-0.2,1.51
GS.OK030.HHZ.00,0.112949,15.6316,Pg,2014-12-09 06:28:36.000,manual,0.5,3.8
OK.FNO.HHZ.01,0.733121,220.343,Pg,2014-12-09 06:28:47.080,automatic,-0.1,1.84
GS.KAN13.HHZ.01,1.30406,336.236,Pn,2014-12-09 06:28:57.330,manual,-0.5,1.23
OK.CROK.HHZ.--,1.16313,306.391,Pg,2014-12-09 06:28:54.930,manual,-0.5,1.35
OK.GC02.EHZ.--,1.32853,321.179,Pn,2014-12-09 06:28:57.680,automatic,-0.5,1.23
GS.KAN01.HHZ.01,1.53137,330.709,Pn,2014-12-09 06:29:00.980,manual,0.0,1.2
