#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000t4vy
#time = 2014-12-09 17:43:53.800000
#location = 21km W of Perry, Oklahoma
#latitude = 36.3240
#longitude = -97.5283
#depth = 7.4
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000t4vy
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.409007,296.297,Pg,2014-12-09 17:44:01.850,manual,0.1,2.51
GS.OK031.HHZ.00,0.669502,123.36,Pg,2014-12-09 17:44:06.690,manual,0.0,1.94
US.WMOK.BHZ.10,1.88361,213.206,Pn,2014-12-09 17:44:26.810,manual,0.4,1.15
OK.CROK.HHN.--,0.409007,296.297,Sg,2014-12-09 17:44:07.680,manual,0.5,1.22
OK.KAY1.HHZ.--,0.506456,30.0801,Pg,2014-12-09 17:44:03.710,manual,0.1,2.26
GS.OK029.HH2.00,0.529653,173.532,Sg,2014-12-09 17:44:11.450,manual,0.5,1.16
GS.OK029.HHZ.00,0.529653,173.532,Pg,2014-12-09 17:44:03.610,manual,-0.4,2.21
OK.GC02.EHN.--,0.59014,333.237,Pg,2014-12-09 17:44:05.560,manual,0.4,2.08
OK.GC02.EHE.--,0.59014,333.237,Sg,2014-12-09 17:44:13.260,manual,0.4,1.14
GS.OK027.HHZ.00,0.642131,161.933,Pg,2014-12-09 17:44:06.260,manual,0.1,1.99
GS.OK027.HH2.00,0.642131,161.933,Sg,2014-12-09 17:44:15.040,manual,0.5,1.12
OK.BCOK.HHE.--,0.669135,185.658,Sg,2014-12-09 17:44:15.850,manual,0.4,1.11
OK.BCOK.HHZ.--,0.669135,185.658,Pg,2014-12-09 17:44:06.560,manual,-0.1,1.94
GS.OK031.HH1.00,0.669502,123.36,Sg,2014-12-09 17:44:15.760,manual,0.3,1.11
OK.QUOK.HHE.--,0.680354,102.692,Sg,2014-12-09 17:44:15.730,manual,0.0,1.1
OK.QUOK.HHZ.--,0.680354,102.692,Pg,2014-12-09 17:44:06.840,manual,-0.1,1.92
GS.KAN13.HNE.01,0.688758,3.36446,Sg,2014-12-09 17:44:16.380,manual,0.3,1.1
GS.KAN13.HHZ.01,0.688758,3.36446,Pg,2014-12-09 17:44:07.000,manual,-0.1,1.91
GS.OK030.HH1.00,0.720853,123.044,Sg,2014-12-09 17:44:17.590,manual,0.5,1.09
GS.OK030.HHZ.00,0.720853,123.044,Pg,2014-12-09 17:44:07.730,manual,0.1,1.85
GS.KAN14.HHN.01,0.721881,331.161,Sg,2014-12-09 17:44:17.260,manual,0.2,1.09
GS.KAN14.HHN.01,0.721881,331.161,Pg,2014-12-09 17:44:07.410,manual,-0.3,1.85
GS.OK025.HH1.00,0.757262,168.173,Pg,2014-12-09 17:44:08.310,manual,-0.1,1.8
GS.OK025.HH1.00,0.757262,168.173,Sg,2014-12-09 17:44:18.940,manual,0.7,1.07
GS.KAN05.HHE.01,0.830433,340.661,Sg,2014-12-09 17:44:20.920,manual,0.4,1.05
GS.KAN05.HHZ.01,0.830433,340.661,Pg,2014-12-09 17:44:08.910,manual,-0.9,1.7
GS.KAN01.HHE.01,0.848289,347.45,Sg,2014-12-09 17:44:21.440,manual,0.3,1.04
GS.KAN01.HHZ.01,0.848289,347.45,Pg,2014-12-09 17:44:09.620,manual,-0.5,1.67
GS.OK028.HH2.00,0.850358,153.405,Sg,2014-12-09 17:44:21.740,manual,0.5,1.04
GS.KS20.HH2.00,0.904199,358.685,Sg,2014-12-09 17:44:23.170,manual,0.2,1.02
GS.KS20.HHZ.00,0.904199,358.685,Pg,2014-12-09 17:44:10.920,manual,-0.3,1.61
GS.KAN10.HHE.01,0.918753,330.456,Sg,2014-12-09 17:44:23.560,manual,0.2,1.02
GS.KAN10.HHZ.01,0.918753,330.456,Pg,2014-12-09 17:44:10.920,manual,-0.5,1.59
GS.KAN11.HHE.01,0.933012,340.764,Sg,2014-12-09 17:44:24.130,manual,0.3,1.01
GS.KAN11.HHZ.01,0.933012,340.764,Pg,2014-12-09 17:44:11.860,manual,0.1,1.57
GS.KAN08.HHZ.01,0.968514,338.606,Pg,2014-12-09 17:44:12.730,manual,0.3,1.53
GS.KAN08.HHE.01,0.968514,338.606,Sg,2014-12-09 17:44:25.230,manual,0.2,1.0
N4.T35B.BHN.--,1.00894,53.8382,Sg,2014-12-09 17:44:26.120,manual,-0.2,0.99
N4.T35B.BHZ.--,1.00894,53.8382,Pg,2014-12-09 17:44:12.850,manual,-0.3,1.49
GS.KAN12.HHZ.01,1.0421,338.934,Pg,2014-12-09 17:44:13.330,manual,-0.5,1.46
GS.KAN12.HNE.01,1.0421,338.934,Sg,2014-12-09 17:44:27.240,manual,-0.1,0.98
OK.FNO.HHE.01,1.06932,174.417,Sg,2014-12-09 17:44:28.670,manual,0.5,0.97
OK.FNO.HHZ.01,1.06932,174.417,Pg,2014-12-09 17:44:13.710,manual,-0.6,1.43
OK.U32A.BHE.--,1.1905,273.103,Sg,2014-12-09 17:44:31.970,manual,-0.1,0.94
OK.U32A.BHZ.--,1.1905,273.103,Pg,2014-12-09 17:44:15.790,manual,-0.9,1.33
OK.W35A.EHZ.--,1.28411,155.339,Pn,2014-12-09 17:44:17.520,manual,-0.6,1.23
TA.TUL1.BHZ.--,1.46525,105.848,Pn,2014-12-09 17:44:19.560,manual,-1.0,1.21
OK.X37A.BHZ.--,2.4691,133.878,Pn,2014-12-09 17:44:35.290,manual,0.9,1.08
N4.R32B.BHZ.--,2.29687,336.137,Pn,2014-12-09 17:44:34.460,manual,2.4,0.0
N4.U38B.BHZ.--,2.53852,86.4683,Pn,2014-12-09 17:44:36.510,manual,1.1,1.07
AG.HHAR.HHZ.00,2.89872,89.7657,Pn,2014-12-09 17:44:41.730,manual,1.4,1.03
TA.W39A.BHZ.--,3.24641,109.183,Pn,2014-12-09 17:44:44.340,manual,-0.8,1.0
US.AMTX.BHZ.00,3.676,248.208,Pn,2014-12-09 17:44:52.170,manual,1.1,0.96
N4.S39B.BHZ.--,3.63213,66.6827,Pn,2014-12-09 17:44:51.420,manual,1.0,0.96
TA.U40A.BHZ.--,3.77424,88.1254,Pn,2014-12-09 17:44:52.460,manual,0.1,0.95
NM.MGMO.BHZ.--,4.30481,77.3405,Pn,2014-12-09 17:44:59.190,manual,-0.5,0.9
AG.WHAR.HHZ.00,4.38134,102.076,Pn,2014-12-09 17:45:01.230,manual,0.5,0.9
AG.FCAR.HHZ.00,4.39718,94.0545,Pn,2014-12-09 17:45:01.290,manual,0.4,0.9
