#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000t60h
#time = 2014-12-12 14:08:34.300000
#location = 14km NNE of Stillwater, Oklahoma
#latitude = 36.2409
#longitude = -97.0002
#depth = 8.2
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000t60h
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.246292,106.27,Pg,2014-12-12 14:08:39.420,manual,0.2,3.09
GS.OK031.HHZ.00,0.315449,155.521,Pg,2014-12-12 14:08:40.640,manual,0.1,2.82
OK.KAY1.HHZ.--,0.548065,341.903,Pg,2014-12-12 14:08:44.970,manual,0.1,2.17
GS.OK030.HHZ.00,0.358261,150.643,Pg,2014-12-12 14:08:41.590,manual,0.3,2.67
GS.OK025.HHZ.00,0.713195,202.705,Pg,2014-12-12 14:08:47.930,manual,-0.1,1.87
GS.OK028.HHZ.00,0.680177,184.207,Pg,2014-12-12 14:08:47.260,manual,-0.2,1.92
OK.CROK.HHZ.--,0.836042,288.646,Pg,2014-12-12 14:08:50.080,manual,-0.3,1.69
GS.KS20.HHZ.00,1.08263,335.888,Pg,2014-12-12 14:08:54.590,manual,-0.5,1.42
OK.W35A.EHZ.--,1.09066,174.58,Pg,2014-12-12 14:08:54.230,manual,-1.0,1.41
OK.OKCSW.EHZ.--,0.906369,203.242,Pg,2014-12-12 14:08:51.350,manual,-0.4,1.6
OK.GC02.EHZ.--,0.922116,311.621,Pg,2014-12-12 14:08:51.660,manual,-0.4,1.59
GS.OK026.HHZ.00,0.901747,204.125,Pg,2014-12-12 14:08:51.290,manual,-0.4,1.61
GS.KAN13.HHZ.01,0.86097,333.639,Pg,2014-12-12 14:08:50.620,manual,-0.2,1.66
GS.KAN01.HHZ.01,1.09606,326.418,Pg,2014-12-12 14:08:54.820,manual,-0.5,1.41
OK.FNO.HHZ.01,1.03417,198.503,Pg,2014-12-12 14:08:53.500,manual,-0.7,1.47
GS.KAN08.HHZ.01,1.25543,321.89,Pn,2014-12-12 14:08:57.860,manual,-0.3,1.24
GS.KAN11.HHZ.01,1.21079,322.978,Pn,2014-12-12 14:08:56.920,manual,-0.6,1.24
GS.KAN14.HHZ.01,1.05395,312.967,Pg,2014-12-12 14:08:54.370,manual,-0.2,1.45
US.WMOK.BHZ.10,2.08803,224.614,Pn,2014-12-12 14:09:10.800,manual,1.2,1.12
OK.X34A.HHZ.--,1.77185,202.805,Pn,2014-12-12 14:09:06.530,manual,1.3,1.16
AG.HHAR.HHZ.00,2.47353,88.1449,Pn,2014-12-12 14:09:16.010,manual,1.1,1.08
TA.TUL1.BHZ.--,1.03292,108.264,Pg,2014-12-12 14:08:53.570,manual,-0.6,1.47
N4.T35B.BHZ.--,0.78021,30.105,Pg,2014-12-12 14:08:49.250,manual,-0.1,1.77
N4.U38B.BHZ.--,2.12018,83.865,Pn,2014-12-12 14:09:11.630,manual,1.6,1.12
GS.KAN10.HHZ.01,1.24524,315.35,Pn,2014-12-12 14:08:57.460,manual,-0.6,1.24
GS.KAN12.HHZ.01,1.32431,323.069,Pn,2014-12-12 14:08:59.030,manual,-0.1,1.22
OK.U32A.BHZ.--,1.62228,275.483,Pn,2014-12-12 14:09:03.790,manual,0.6,1.18
