#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000t6p5
#time = 2014-12-14 04:43:58.200000
#location = 6km NNE of Helena, Oklahoma
#latitude = 36.5990
#longitude = -98.2280
#depth = 1.0
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000t6p5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.218287,115.467,Pg,2014-12-14 04:44:02.760,manual,0.4,3.21
OK.GC02.EHZ.--,0.388739,49.4773,Pg,2014-12-14 04:44:05.930,manual,0.3,2.9
OK.QUOK.HHZ.--,1.29865,108.732,Pn,2014-12-14 04:44:22.250,manual,-1.2,1.24
N4.N38B.BHZ.--,5.72539,41.4755,Pn,2014-12-14 04:45:24.450,manual,0.1,0.81
N4.T35B.BHZ.--,1.41406,76.5502,Pn,2014-12-14 04:44:24.450,manual,-0.6,1.22
N4.R40B.BHZ.--,5.03378,68.6051,Pn,2014-12-14 04:45:14.560,manual,-0.3,0.85
GS.KAN14.HHZ.01,0.415689,30.7067,Pg,2014-12-14 04:44:06.440,manual,0.3,2.86
GS.KAN10.HHZ.01,0.534244,11.4682,Pg,2014-12-14 04:44:08.630,manual,0.2,2.68
GS.KAN11.HHZ.01,0.656271,22.5108,Pg,2014-12-14 04:44:10.850,manual,0.1,2.51
GS.KAN08.HHZ.01,0.659529,18.1286,Pg,2014-12-14 04:44:10.710,manual,-0.1,2.5
GS.KAN01.HHZ.01,0.669044,34.0603,Pg,2014-12-14 04:44:10.980,manual,0.0,2.49
OK.U32A.BHZ.--,0.660641,250.865,Pg,2014-12-14 04:44:10.760,manual,-0.1,2.5
GS.KAN12.HHZ.01,0.721027,14.7366,Pg,2014-12-14 04:44:12.070,manual,0.1,2.43
GS.KAN13.HHZ.01,0.730194,55.3212,Pg,2014-12-14 04:44:12.110,manual,-0.1,2.41
GS.KS20.HHZ.00,0.829344,40.4186,Pg,2014-12-14 04:44:13.780,manual,-0.3,2.08
OK.BCOK.HHZ.--,1.06543,151.775,Pg,2014-12-14 04:44:18.100,manual,-0.5,1.48
OK.KAY1.HHZ.--,0.832773,78.3826,Pg,2014-12-14 04:44:13.990,manual,-0.2,2.07
GS.OK025.HHZ.00,1.24562,144.372,Pg,2014-12-14 04:44:21.160,manual,-0.9,1.46
GS.OK031.HHZ.00,1.29423,119.458,Pn,2014-12-14 04:44:22.010,manual,-1.4,1.24
GS.OK026.HHZ.00,1.33856,151.71,Pn,2014-12-14 04:44:22.950,manual,-1.1,1.23
GS.OK030.HHZ.00,1.34572,119.422,Pn,2014-12-14 04:44:22.950,manual,-1.2,1.23
OK.OKCSW.EHZ.--,1.35233,151.494,Pn,2014-12-14 04:44:23.140,manual,-1.1,1.23
OK.FNO.HHZ.01,1.49751,153.135,Pn,2014-12-14 04:44:25.600,manual,-0.6,1.21
OK.W35A.EHZ.--,1.81413,142.307,Pn,2014-12-14 04:44:30.340,manual,-0.2,1.17
US.WMOK.BHZ.10,1.91081,193.784,Pn,2014-12-14 04:44:31.810,manual,-0.1,1.15
OK.X34A.HHZ.--,2.0195,170.703,Pn,2014-12-14 04:44:33.850,manual,0.4,1.14
TA.TUL1.BHZ.--,2.08545,108.516,Pn,2014-12-14 04:44:34.850,manual,0.5,1.13
OK.X37A.BHZ.--,3.07254,129.901,Pn,2014-12-14 04:44:47.830,manual,0.0,1.02
TA.BGNE.BHZ.--,4.80288,0.698849,Pn,2014-12-14 04:45:11.710,manual,0.0,0.87
OK.CROK.HHE.--,0.218287,115.467,Sg,2014-12-14 04:44:05.940,manual,0.7,1.31
OK.GC02.EHN.--,0.388739,49.4773,Sg,2014-12-14 04:44:11.530,manual,0.8,1.26
GS.KAN14.HHN.01,0.415689,30.7067,Sg,2014-12-14 04:44:12.470,manual,0.9,1.25
GS.KAN10.HHN.01,0.534244,11.4682,Sg,2014-12-14 04:44:16.250,manual,0.9,1.23
GS.KAN12.HHN.01,0.721027,14.7366,Sg,2014-12-14 04:44:22.070,manual,0.7,1.19
GS.KAN13.HHN.01,0.730194,55.3212,Sg,2014-12-14 04:44:22.060,manual,0.4,1.19
OK.KAY1.HHN.--,0.832773,78.3826,Sg,2014-12-14 04:44:25.350,manual,0.4,1.14
AG.HHAR.HHZ.00,3.47188,93.9514,Pn,2014-12-14 04:44:53.080,manual,-0.3,0.98
US.MIAR.BHZ.00,4.30949,117.018,Pn,2014-12-14 04:45:05.310,manual,0.4,0.91
N4.S39B.BHZ.--,4.06782,72.9887,Pn,2014-12-14 04:45:01.120,manual,-0.5,0.93
TA.ABTX.BHZ.--,4.1337,196.806,Pn,2014-12-14 04:45:02.180,manual,-0.3,0.92
N4.N33B.BHZ.--,4.17639,8.1321,Pn,2014-12-14 04:45:03.630,manual,0.6,0.92
TA.KSCO.BHZ.--,4.23492,305.981,Pn,2014-12-14 04:45:04.070,manual,0.1,0.92
TA.U40A.BHZ.--,4.338,91.5997,Pn,2014-12-14 04:45:05.820,manual,0.5,0.91
N4.P38B.BHZ.--,4.77859,49.3703,Pn,2014-12-14 04:45:10.200,manual,-1.1,0.87
NM.MGMO.BHZ.--,4.80971,81.6044,Pn,2014-12-14 04:45:11.280,manual,-0.5,0.87
TA.X40A.BHZ.--,4.8763,114.009,Pn,2014-12-14 04:45:11.890,manual,-0.8,0.87
