#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000t8fh
#time = 2014-12-19 11:02:43.800000
#location = 13km W of Perry, Oklahoma
#latitude = 36.2854
#longitude = -97.4333
#depth = 6.7
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000t8fh
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.494871,296.411,Pg,2014-12-19 11:02:53.440,manual,0.1,2.29
GS.KAN13.HHZ.01,0.726964,357.191,Pg,2014-12-19 11:02:57.800,manual,0.0,1.84
GS.OK031.HHZ.00,0.584315,124.403,Pg,2014-12-19 11:02:55.200,manual,0.1,2.1
GS.KAN14.HHZ.01,0.794111,327.703,Pg,2014-12-19 11:02:58.930,manual,-0.1,1.75
GS.OK030.HHZ.00,0.635598,123.965,Pg,2014-12-19 11:02:56.130,manual,0.1,2.0
GS.OK025.HHZ.00,0.707066,173.686,Pg,2014-12-19 11:02:57.450,manual,0.0,1.88
OK.GC02.EHZ.--,0.661053,328.851,Pg,2014-12-19 11:02:56.610,manual,0.1,1.95
GS.KAN01.HHZ.01,0.904985,343.289,Pg,2014-12-19 11:03:00.810,manual,-0.4,1.61
GS.KAN05.HHZ.01,0.89416,336.89,Pg,2014-12-19 11:03:00.820,manual,-0.2,1.62
OK.BCOK.HHZ.--,0.643419,192.872,Pg,2014-12-19 11:02:56.340,manual,0.1,1.98
GS.KAN10.HHZ.01,0.991237,327.748,Pg,2014-12-19 11:03:02.580,manual,-0.3,1.51
GS.KAN11.HHZ.01,0.996434,337.38,Pg,2014-12-19 11:03:02.650,manual,-0.3,1.51
OK.OKCSW.EHZ.--,0.878038,180.251,Pg,2014-12-19 11:03:00.070,manual,-0.6,1.64
GS.KAN12.HHZ.01,1.10711,335.998,Pg,2014-12-19 11:03:04.680,manual,-0.4,1.4
GS.KAN08.HHZ.01,1.03394,335.479,Pg,2014-12-19 11:03:03.400,manual,-0.3,1.47
GS.OK026.HHZ.00,0.868376,180.976,Pg,2014-12-19 11:03:00.520,manual,0.0,1.65
OK.W35A.EHZ.--,1.21829,157.921,Pg,2014-12-19 11:03:06.160,manual,-1.0,1.31
OK.FNO.HHZ.01,1.02613,178.533,Pg,2014-12-19 11:03:03.350,manual,-0.1,1.48
US.WMOK.BHZ.10,1.89536,215.841,Pn,2014-12-19 11:03:16.900,manual,0.3,1.15
OK.U32A.BHZ.--,1.26969,274.706,Pn,2014-12-19 11:03:06.990,manual,-1.0,1.24
N4.T35B.BHZ.--,0.972676,49.392,Pg,2014-12-19 11:03:02.250,manual,-0.2,1.53
N4.R32B.BHZ.--,2.36375,334.87,Pn,2014-12-19 11:03:23.390,manual,0.3,1.09
OK.X37A.BHZ.--,2.38723,134.545,Pn,2014-12-19 11:03:23.730,manual,0.4,1.09
US.CBKS.BHZ.00,3.11825,324.736,Pn,2014-12-19 11:03:34.260,manual,0.8,1.01
N4.Z38B.BHZ.--,3.62896,145.564,Pn,2014-12-19 11:03:41.330,manual,0.9,0.96
N4.S39B.BHZ.--,3.57748,65.6877,Pn,2014-12-19 11:03:40.190,manual,0.4,0.97
US.AMTX.BHZ.00,3.73354,249.248,Pn,2014-12-19 11:03:40.250,manual,-1.7,0.95
OK.CROK.HHN.--,0.494871,296.411,Sg,2014-12-19 11:03:00.170,manual,0.3,1.18
GS.OK031.HH2.00,0.584315,124.403,Sg,2014-12-19 11:03:03.420,manual,0.7,1.14
GS.OK030.HH2.00,0.635598,123.965,Sg,2014-12-19 11:03:04.810,manual,0.5,1.12
OK.BCOK.HHE.--,0.643419,192.872,Sg,2014-12-19 11:03:05.250,manual,0.7,1.12
OK.GC02.EHE.--,0.661053,328.851,Sg,2014-12-19 11:03:05.680,manual,0.5,1.11
GS.OK025.HH2.00,0.707066,173.686,Sg,2014-12-19 11:03:07.370,manual,0.8,1.09
GS.KAN13.HNE.01,0.726964,357.191,Sg,2014-12-19 11:03:07.780,manual,0.5,1.08
GS.KAN14.HNE.01,0.794111,327.703,Sg,2014-12-19 11:03:09.380,manual,0.0,1.06
GS.OK026.HH2.00,0.868376,180.976,Sg,2014-12-19 11:03:12.310,manual,0.5,1.03
OK.OKCSW.EHN.--,0.878038,180.251,Sg,2014-12-19 11:03:11.950,manual,-0.1,1.03
GS.KAN05.HNN.01,0.89416,336.89,Sg,2014-12-19 11:03:12.300,manual,-0.3,1.03
