#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000t9g2
#time = 2014-12-23 16:21:04.100000
#location = 2km ENE of Medford, Oklahoma
#latitude = 36.8185
#longitude = -97.7049
#depth = 5.6
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000t9g2
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GC02.EHZ.--,0.128406,284.91,Pg,2014-12-23 16:21:07.240,manual,0.5,3.7
OK.CROK.HHZ.--,0.385013,215.648,Pg,2014-12-23 16:21:11.840,manual,0.3,2.59
GS.KAN13.HHZ.01,0.266041,43.1008,Pg,2014-12-23 16:21:09.840,manual,0.5,3.0
GS.KAN10.HHZ.01,0.43627,314.368,Pg,2014-12-23 16:21:12.920,manual,0.4,2.44
GS.KAN11.HHZ.01,0.421215,336.733,Pg,2014-12-23 16:21:12.750,manual,0.5,2.48
GS.KAN08.HHZ.01,0.459703,332.493,Pg,2014-12-23 16:21:13.410,manual,0.4,2.38
GS.KAN12.HHZ.01,0.532419,333.96,Pg,2014-12-23 16:21:15.050,manual,0.7,2.2
OK.KAY1.HHZ.--,0.399423,97.8677,Pg,2014-12-23 16:21:12.090,manual,0.3,2.54
OK.U32A.BHZ.--,1.13159,247.608,Pg,2014-12-23 16:21:25.380,manual,-0.4,1.38
N4.T35B.BHZ.--,0.961683,83.8227,Pg,2014-12-23 16:21:22.270,manual,-0.3,1.54
GS.OK031.HHZ.00,1.11085,140.772,Pg,2014-12-23 16:21:25.170,manual,-0.2,1.4
GS.OK030.HHZ.00,1.15878,139.82,Pg,2014-12-23 16:21:25.910,manual,-0.4,1.35
GS.OK025.HHZ.00,1.27004,166.374,Pn,2014-12-23 16:21:28.090,manual,-0.4,1.24
GS.OK026.HHZ.00,1.41526,171.586,Pn,2014-12-23 16:21:31.310,manual,0.9,1.22
OK.GC02.EHE.--,0.128406,284.91,Sg,2014-12-23 16:21:09.160,manual,0.6,1.36
GS.KAN14.HHN.01,0.248741,303.784,Sg,2014-12-23 16:21:12.920,manual,0.6,1.3
GS.KAN13.HNE.01,0.266041,43.1008,Sg,2014-12-23 16:21:13.590,manual,0.8,1.29
OK.CROK.HHN.--,0.385013,215.648,Sg,2014-12-23 16:21:17.100,manual,0.5,1.23
GS.KAN12.HHE.01,0.532419,333.96,Sg,2014-12-23 16:21:21.810,manual,0.5,1.16
OK.U32A.BHN.--,1.13159,247.608,Sg,2014-12-23 16:21:38.770,manual,-1.7,0.95
OK.FNO.HHZ.01,1.57717,170.931,Pn,2014-12-23 16:21:32.760,manual,0.1,1.19
N4.R32B.BHZ.--,1.78945,333.788,Pn,2014-12-23 16:21:34.860,manual,-0.8,1.16
OK.W35A.EHZ.--,1.79354,157.7,Pn,2014-12-23 16:21:35.960,manual,0.3,1.16
US.WMOK.BHZ.10,2.25286,203.164,Pn,2014-12-23 16:21:41.830,manual,-0.2,1.11
