#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000ta2x
#time = 2014-12-26 18:03:37.500000
#location = 7km S of Guthrie, Oklahoma
#latitude = 35.8104
#longitude = -97.4160
#depth = 5.5
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000ta2x
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.219668,225.776,Pg,2014-12-26 18:03:42.070,manual,0.2,3.21
GS.OK030.HHZ.00,0.526681,76.9628,Pg,2014-12-26 18:03:47.690,manual,0.0,2.22
OK.OKCSW.EHZ.--,0.404414,182.547,Pg,2014-12-26 18:03:45.610,manual,0.3,2.53
GS.OK031.HHZ.00,0.489655,72.9244,Pg,2014-12-26 18:03:47.260,manual,0.3,2.3
OK.W35A.EHZ.--,0.791181,145.885,Pg,2014-12-26 18:03:52.430,manual,-0.3,1.75
OK.CROK.HHZ.--,0.831212,326.634,Pg,2014-12-26 18:03:53.370,manual,-0.1,1.7
OK.KAY1.HHZ.--,0.964527,9.7695,Pg,2014-12-26 18:03:55.880,manual,-0.1,1.54
GS.OK025.HHZ.00,0.23747,164.449,Pg,2014-12-26 18:03:42.600,manual,0.4,3.13
OK.GC02.EHZ.--,1.09901,341.109,Pg,2014-12-26 18:03:58.030,manual,-0.6,1.41
GS.KAN13.HHZ.01,1.20113,357.64,Pg,2014-12-26 18:04:00.130,manual,-0.4,1.32
US.WMOK.BHZ.10,1.54655,226.615,Pn,2014-12-26 18:04:05.580,manual,-0.1,1.2
GS.KAN10.HHZ.01,1.42022,337.53,Pn,2014-12-26 18:04:03.830,manual,-0.1,1.21
GS.KAN08.HHZ.01,1.48249,342.615,Pn,2014-12-26 18:04:05.000,manual,0.2,1.21
GS.KAN11.HHZ.01,1.44931,344.099,Pn,2014-12-26 18:04:04.050,manual,-0.3,1.21
GS.KAN12.HHZ.01,1.5563,342.648,Pn,2014-12-26 18:04:06.260,manual,0.4,1.2
AG.HHAR.HHZ.00,2.85588,79.4955,Pn,2014-12-26 18:04:22.530,manual,-1.2,1.04
US.MIAR.BHZ.00,3.38871,110.75,Pn,2014-12-26 18:04:31.910,manual,0.9,0.99
OK.U32A.BHZ.--,1.40401,294.325,Pn,2014-12-26 18:04:03.290,manual,-0.4,1.22
US.KSU1.BHZ.10,3.34677,10.8135,Pn,2014-12-26 18:04:29.600,manual,-0.8,0.99
US.CBKS.BHZ.00,3.52314,329.01,Pn,2014-12-26 18:04:31.930,manual,-1.0,0.97
US.AMTX.BHZ.00,3.60661,256.388,Pn,2014-12-26 18:04:34.900,manual,0.8,0.97
TA.W39A.BHZ.--,3.02598,100.629,Pn,2014-12-26 18:04:26.780,manual,0.8,1.02
ZW.AZDA.EHZ.01,2.833,182.37,Pn,2014-12-26 18:04:22.400,manual,-1.0,1.04
OK.X37A.BHZ.--,2.07082,125.448,Pn,2014-12-26 18:04:13.090,manual,0.2,1.13
AG.WHAR.HHZ.00,4.21242,95.584,Pn,2014-12-26 18:04:43.370,manual,1.1,0.91
AG.FCAR.HHZ.00,4.2995,87.3919,Pn,2014-12-26 18:04:44.660,manual,1.2,0.91
N4.T35B.BHZ.--,1.32302,33.2082,Pn,2014-12-26 18:04:02.020,manual,-0.6,1.23
N4.U38B.BHZ.--,2.53228,74.7584,Pn,2014-12-26 18:04:19.590,manual,0.4,1.07
N4.S39B.BHZ.--,3.78515,59.0652,Pn,2014-12-26 18:04:37.270,manual,0.8,0.95
TA.ABTX.BHZ.--,3.67529,210.772,Pn,2014-12-26 18:04:35.800,manual,0.8,0.96
TA.U40A.BHZ.--,3.73536,80.2752,Pn,2014-12-26 18:04:36.540,manual,0.8,0.95
N4.R40B.BHZ.--,4.80408,57.4532,Pn,2014-12-26 18:04:50.970,manual,0.5,0.87
