#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tb5s
#time = 2015-01-01 14:44:08.500000
#location = 2km ENE of Medford, Oklahoma
#latitude = 36.8137
#longitude = -97.7100
#depth = 3.2
#magnitude = 3.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tb5s
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN08.HHZ.01,0.462099,333.214,Pg,2015-01-01 14:44:17.770,manual,0.4,2.37
OK.CROK.HHZ.--,0.378738,215.565,Pg,2015-01-01 14:44:16.220,manual,0.4,2.6
GS.KAN11.HHZ.01,0.424037,337.493,Pg,2015-01-01 14:44:17.140,manual,0.5,2.47
US.WMOK.BHZ.10,2.24685,203.113,Pn,2015-01-01 14:44:46.480,manual,-0.1,1.11
N4.T35B.BHZ.--,0.966274,83.5634,Pg,2015-01-01 14:44:26.810,manual,-0.2,1.54
US.MIAR.BHZ.00,4.05493,122.705,Pn,2015-01-01 14:45:12.480,manual,1.1,0.93
NM.MGMO.BHZ.--,4.36969,83.9083,Pn,2015-01-01 14:45:16.380,manual,0.6,0.9
N4.U38B.BHZ.--,2.70007,96.9583,Pn,2015-01-01 14:44:53.200,manual,0.4,1.06
N4.R40B.BHZ.--,4.56842,69.5267,Pn,2015-01-01 14:45:18.340,manual,-0.1,0.89
TA.U40A.BHZ.--,3.93505,95.2093,Pn,2015-01-01 14:45:10.020,manual,0.2,0.94
GS.KAN13.HHZ.01,0.272333,43.0375,Pg,2015-01-01 14:44:14.360,manual,0.6,2.98
GS.KAN14.HHZ.01,0.248084,305.226,Pg,2015-01-01 14:44:13.930,manual,0.6,3.08
GS.KAN10.HHZ.01,0.436741,315.189,Pg,2015-01-01 14:44:17.320,manual,0.4,2.44
GS.KAN12.HHZ.01,0.534958,334.576,Pg,2015-01-01 14:44:19.100,manual,0.3,2.2
GS.OK031.HHZ.00,1.10975,140.449,Pg,2015-01-01 14:44:29.450,manual,-0.3,1.4
GS.OK030.HHZ.00,1.15777,139.51,Pg,2015-01-01 14:44:30.340,manual,-0.4,1.36
GS.OK025.HHZ.00,1.26636,166.141,Pn,2015-01-01 14:44:32.290,manual,-0.8,1.24
GS.OK026.HHZ.00,1.41113,171.39,Pn,2015-01-01 14:44:34.670,manual,-0.4,1.22
OK.FNO.HHZ.01,1.57309,170.754,Pn,2015-01-01 14:44:37.140,manual,-0.2,1.2
OK.W35A.EHZ.--,1.79067,157.517,Pn,2015-01-01 14:44:40.110,manual,-0.2,1.17
US.KSU1.BHZ.10,2.44347,20.5202,Pn,2015-01-01 14:44:49.760,manual,0.5,1.09
US.CBKS.BHZ.00,2.56225,321.815,Pn,2015-01-01 14:44:51.500,manual,0.5,1.07
OK.U32A.BHZ.--,1.12599,247.751,Pg,2015-01-01 14:44:29.610,manual,-0.5,1.38
US.AMTX.BHZ.00,3.75661,240.338,Pn,2015-01-01 14:45:07.070,manual,-0.3,0.95
AG.WHAR.HHZ.00,4.64782,107.482,Pn,2015-01-01 14:45:19.740,manual,0.2,0.88
AG.FCAR.HHZ.00,4.60203,99.8878,Pn,2015-01-01 14:45:19.120,manual,0.2,0.88
OK.X37A.BHZ.--,2.92388,138.697,Pn,2015-01-01 14:44:56.190,manual,0.3,1.03
N4.R32B.BHZ.--,1.79195,333.97,Pn,2015-01-01 14:44:40.880,manual,0.5,1.17
N4.S39B.BHZ.--,3.60829,74.636,Pn,2015-01-01 14:45:05.100,manual,-0.2,0.97
N4.Z35B.BHZ.--,3.49495,173.711,Pn,2015-01-01 14:45:03.850,manual,0.1,0.98
US.SDCO.BHZ.00,6.28192,280.862,Pn,2015-01-01 14:45:42.330,manual,0.0,0.83
IU.CCM.BHZ.10,5.29252,74.5033,Pn,2015-01-01 14:45:29.410,manual,1.0,0.84
