#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000td1l
#time = 2015-01-08 05:06:59.800000
#location = 23km ENE of Cherokee, Oklahoma
#latitude = 36.8723
#longitude = -98.1351
#depth = 7.0
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000td1l
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.38662,161.57,Pg,2015-01-08 05:07:07.490,manual,0.2,2.58
GS.KAN14.HHZ.01,0.161676,58.5047,Pg,2015-01-08 05:07:03.550,manual,0.4,3.5
OK.GC02.EHZ.--,0.221931,95.2843,Pg,2015-01-08 05:07:04.490,manual,0.3,3.2
GS.KAN10.HHZ.01,0.252769,7.26658,Pg,2015-01-08 05:07:05.250,manual,0.4,3.06
GS.KAN11.HHZ.01,0.377413,27.9835,Pg,2015-01-08 05:07:07.660,manual,0.5,2.61
GS.KAN12.HHZ.01,0.438251,14.4462,Pg,2015-01-08 05:07:08.680,manual,0.4,2.43
OK.U32A.BHZ.--,0.852976,235.047,Pg,2015-01-08 05:07:16.030,manual,-0.2,1.67
GS.KAN14.HHN.01,0.161676,58.5047,Sg,2015-01-08 05:07:06.160,manual,0.8,1.35
OK.GC02.EHE.--,0.221931,95.2843,Sg,2015-01-08 05:07:07.890,manual,0.7,1.31
GS.KAN10.HHN.01,0.252769,7.26658,Sg,2015-01-08 05:07:09.110,manual,0.9,1.3
OK.CROK.HHE.--,0.38662,161.57,Sg,2015-01-08 05:07:13.050,manual,0.6,1.23
GS.KAN11.HHE.01,0.377413,27.9835,Sg,2015-01-08 05:07:12.990,manual,0.9,1.23
GS.KAN08.HHN.01,0.377347,20.324,Sg,2015-01-08 05:07:12.930,manual,0.8,1.23
GS.KAN12.HHN.01,0.438251,14.4462,Sg,2015-01-08 05:07:15.000,manual,0.9,1.2
GS.KAN13.HHN.01,0.544989,74.8806,Sg,2015-01-08 05:07:17.960,manual,0.5,1.16
OK.KAY1.HHZ.--,0.748639,98.1254,Pg,2015-01-08 05:07:14.420,manual,0.2,1.81
OK.U32A.BHN.--,0.852976,235.047,Sg,2015-01-08 05:07:27.560,manual,0.3,1.04
GS.KAN08.HHZ.01,0.377347,20.324,Pg,2015-01-08 05:07:07.610,manual,0.5,2.61
GS.KAN13.HHZ.01,0.544989,74.8806,Pg,2015-01-08 05:07:10.540,manual,0.2,2.18
GS.OK031.HHZ.00,1.39083,130.881,Pn,2015-01-08 05:07:25.480,manual,-0.2,1.22
OK.QUOK.HHZ.--,1.34566,120.894,Pn,2015-01-08 05:07:24.860,manual,-0.2,1.22
GS.OK030.HHZ.00,1.44118,130.444,Pn,2015-01-08 05:07:26.220,manual,-0.1,1.21
GS.OK026.HHZ.00,1.55574,158.961,Pn,2015-01-08 05:07:28.020,manual,0.1,1.19
OK.OKCSW.EHZ.--,1.56876,158.712,Pn,2015-01-08 05:07:28.390,manual,0.3,1.19
GS.OK025.HHZ.00,1.44078,153.187,Pn,2015-01-08 05:07:26.170,manual,-0.2,1.21
OK.FNO.HHZ.01,1.71773,159.53,Pn,2015-01-08 05:07:30.020,manual,-0.1,1.17
US.WMOK.BHZ.10,2.19352,194.032,Pn,2015-01-08 05:07:36.430,manual,-0.3,1.11
OK.W35A.EHZ.--,1.99726,148.85,Pn,2015-01-08 05:07:34.280,manual,0.3,1.14
US.CBKS.BHZ.00,2.3165,327.288,Pn,2015-01-08 05:07:38.350,manual,-0.1,1.1
US.KSU1.BHZ.10,2.53043,27.9835,Pn,2015-01-08 05:07:41.430,manual,0.1,1.07
N4.T35B.BHZ.--,1.302,87.5843,Pn,2015-01-08 05:07:24.170,manual,-0.3,1.23
US.AMTX.BHZ.00,3.49666,236.478,Pn,2015-01-08 05:07:54.900,manual,0.2,0.97
TA.TUL1.BHZ.--,2.12034,116.22,Pn,2015-01-08 05:07:35.970,manual,0.3,1.12
N4.R32B.BHZ.--,1.61364,343.716,Pn,2015-01-08 05:07:29.510,manual,0.8,1.19
OK.X37A.BHZ.--,3.20074,134.559,Pn,2015-01-08 05:07:50.560,manual,0.0,1.0
N4.U38B.BHZ.--,3.04568,97.0325,Pn,2015-01-08 05:07:48.420,manual,0.0,1.02
TA.U40A.BHZ.--,4.28,95.3293,Pn,2015-01-08 05:08:05.120,manual,-0.3,0.91
OK.KAY1.HHN.--,0.748639,98.1254,Sg,2015-01-08 05:07:24.470,manual,0.5,1.08
AG.HHAR.HHZ.00,3.42761,98.6416,Pn,2015-01-08 05:07:54.270,manual,0.6,0.98
N4.S39B.BHZ.--,3.92408,76.5316,Pn,2015-01-08 05:08:00.820,manual,0.3,0.94
N4.R40B.BHZ.--,4.87021,71.3236,Pn,2015-01-08 05:08:13.090,manual,-0.4,0.86
NM.MGMO.BHZ.--,4.70334,84.8095,Pn,2015-01-08 05:08:11.170,manual,0.0,0.87
TA.WHTX.BHZ.--,4.9013,173.231,Pn,2015-01-08 05:08:13.570,manual,-0.3,0.86
TA.MSTX.BHZ.--,4.76688,233.958,Pn,2015-01-08 05:08:12.220,manual,0.1,0.87
