#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000texr
#time = 2014-12-30 11:05:53.500000
#location = 20km S of Medford, Oklahoma
#latitude = 36.6252
#longitude = -97.7233
#depth = 6.5
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000texr
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.241481,240.209,Pg,2014-12-30 11:05:58.370,manual,0.1,3.11
OK.GC02.EHZ.--,0.251005,334.179,Pg,2014-12-30 11:05:58.910,manual,0.5,3.07
GS.KAN13.HHZ.01,0.434222,26.907,Pg,2014-12-30 11:06:02.160,manual,0.2,2.44
OK.QUOK.HHZ.--,0.936003,118.635,Pg,2014-12-30 11:06:11.150,manual,-0.3,1.57
GS.OK025.HHZ.00,1.08767,163.211,Pg,2014-12-30 11:06:13.920,manual,-0.5,1.42
GS.OK031.HHZ.00,0.979892,132.934,Pg,2014-12-30 11:06:11.900,manual,-0.4,1.52
OK.BCOK.HHZ.--,0.970896,174.513,Pg,2014-12-30 11:06:11.730,manual,-0.4,1.53
GS.OK030.HHZ.00,1.02991,132.235,Pg,2014-12-30 11:06:12.890,manual,-0.4,1.47
GS.OK026.HHZ.00,1.22733,169.574,Pg,2014-12-30 11:06:16.280,manual,-0.8,1.3
GS.KAN12.HHZ.01,0.706097,341.926,Pg,2014-12-30 11:06:07.270,manual,0.2,1.88
OK.OKCSW.EHZ.--,1.23893,169.156,Pn,2014-12-30 11:06:16.510,manual,-0.8,1.24
OK.FNO.HHZ.01,1.38971,169.064,Pn,2014-12-30 11:06:19.120,manual,-0.3,1.22
OK.W35A.EHZ.--,1.62298,154.62,Pn,2014-12-30 11:06:21.900,manual,-0.7,1.19
US.WMOK.BHZ.10,2.0706,204.876,Pn,2014-12-30 11:06:29.520,manual,0.8,1.13
US.KSU1.BHZ.10,2.62402,19.2916,Pn,2014-12-30 11:06:38.030,manual,1.7,1.06
OK.U32A.BHZ.--,1.0586,256.987,Pg,2014-12-30 11:06:13.320,manual,-0.5,1.44
N4.T35B.BHZ.--,1.01513,73.0127,Pg,2014-12-30 11:06:12.700,manual,-0.3,1.49
N4.U38B.BHZ.--,2.69445,92.9513,Pn,2014-12-30 11:06:37.280,manual,-0.1,1.05
OK.X37A.BHZ.--,2.79273,135.978,Pn,2014-12-30 11:06:39.960,manual,1.3,1.04
OK.CROK.HHN.--,0.241481,240.209,Sg,2014-12-30 11:06:02.270,manual,0.8,1.3
OK.GC02.EHE.--,0.251005,334.179,Sg,2014-12-30 11:06:02.700,manual,0.9,1.3
GS.KAN12.HHE.01,0.706097,341.926,Sg,2014-12-30 11:06:16.900,manual,0.6,1.09
GS.OK031.HH2.00,0.979892,132.934,Sg,2014-12-30 11:06:25.010,manual,0.0,1.0
N4.T35B.BHN.--,1.01513,73.0127,Sg,2014-12-30 11:06:25.990,manual,-0.2,0.99
GS.OK030.HH1.00,1.02991,132.235,Sg,2014-12-30 11:06:26.410,manual,-0.2,0.98
GS.OK025.HH2.00,1.08767,163.211,Sg,2014-12-30 11:06:28.640,manual,0.1,0.97
GS.OK026.HH2.00,1.22733,169.574,Sg,2014-12-30 11:06:32.800,manual,-0.2,0.93
OK.OKCSW.EHE.--,1.23893,169.156,Sg,2014-12-30 11:06:33.390,manual,0.0,0.92
N4.R32B.BHZ.--,1.95848,336.659,Pn,2014-12-30 11:06:27.850,manual,0.6,1.14
