#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tfmp
#time = 2015-01-14 13:52:23.200000
#location = 16km SW of Medford, Oklahoma
#latitude = 36.7128
#longitude = -97.8802
#depth = 6.2
#magnitude = 2.5
#magtype = mb_lg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tfmp
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
N4.T35B.BHZ.--,1.11667,79.1159,Pg,2015-01-14 13:52:44.040,manual,-0.6,1.39
GS.KAN10.HHZ.01,0.444635,337.276,Pg,2015-01-14 13:52:32.000,manual,0.2,2.42
GS.OK025.HHZ.00,1.21166,158.601,Pg,2015-01-14 13:52:45.770,manual,-0.7,1.31
OK.FNO.HHZ.01,1.5034,164.883,Pn,2015-01-14 13:52:50.530,manual,-0.2,1.2
OK.W35A.EHZ.--,1.75777,152.037,Pn,2015-01-14 13:52:54.210,manual,0.0,1.17
OK.KAY1.HHZ.--,0.538916,84.4977,Pg,2015-01-14 13:52:33.630,manual,0.0,2.19
OK.U32A.BHZ.--,0.962204,250.11,Pg,2015-01-14 13:52:41.320,manual,-0.4,1.54
OK.BCOK.HHZ.--,1.07648,168.173,Pg,2015-01-14 13:52:43.250,manual,-0.6,1.43
OK.QUOK.HHZ.--,1.08874,119.405,Pg,2015-01-14 13:52:43.770,manual,-0.3,1.42
GS.OK031.HHZ.00,1.13204,131.737,Pg,2015-01-14 13:52:44.290,manual,-0.6,1.38
GS.OK030.HHZ.00,1.18226,131.175,Pg,2015-01-14 13:52:45.140,manual,-0.7,1.34
GS.OK026.HHZ.00,1.3406,164.853,Pn,2015-01-14 13:52:48.060,manual,-0.4,1.23
OK.GC02.EHE.--,0.139421,6.80874,Sg,2015-01-14 13:52:28.680,manual,0.6,1.36
OK.CROK.HHN.--,0.223675,201.822,Sg,2015-01-14 13:52:30.960,manual,0.3,1.31
GS.KAN14.HHN.01,0.25243,344.768,Sg,2015-01-14 13:52:32.080,manual,0.5,1.3
GS.KAN11.HHZ.01,0.492988,356.927,Sg,2015-01-14 13:52:39.620,manual,0.5,1.18
GS.KAN08.HHZ.01,0.518054,351.967,Sg,2015-01-14 13:52:39.540,manual,-0.4,1.17
OK.KAY1.HHN.--,0.538916,84.4977,Sg,2015-01-14 13:52:40.270,manual,-0.3,1.16
GS.KAN12.HHZ.01,0.59108,350.855,Sg,2015-01-14 13:52:41.610,manual,-0.7,1.14
OK.U32A.BHE.--,0.962204,250.11,Sg,2015-01-14 13:52:53.870,manual,-0.3,1.0
OK.OKCSW.EHZ.--,1.35289,164.512,Pn,2015-01-14 13:52:48.270,manual,-0.3,1.22
US.WMOK.BHZ.10,2.10242,200.66,Pn,2015-01-14 13:52:59.280,manual,0.3,1.12
US.KSU1.BHZ.10,2.58729,22.4734,Pn,2015-01-14 13:53:05.620,manual,0.0,1.07
OK.GC02.EHZ.--,0.139421,6.80874,Pg,2015-01-14 13:52:26.360,manual,0.3,3.63
GS.KAN14.HHZ.01,0.25243,344.768,Pg,2015-01-14 13:52:28.500,manual,0.3,3.06
OK.CROK.HHZ.--,0.223675,201.822,Pg,2015-01-14 13:52:27.780,manual,0.1,3.19
GS.KAN13.HHZ.01,0.44031,47.0143,Pg,2015-01-14 13:52:31.850,manual,0.1,2.43
GS.KAN11.HHZ.01,0.492988,356.927,Pg,2015-01-14 13:52:32.990,manual,0.3,2.29
GS.KAN08.HHZ.01,0.518054,351.967,Pg,2015-01-14 13:52:33.440,manual,0.2,2.24
GS.KAN12.HHZ.01,0.59108,350.855,Pg,2015-01-14 13:52:34.760,manual,0.2,2.08
OK.QUOK.HHN.--,1.08874,119.405,Sg,2015-01-14 13:52:57.730,manual,-0.5,0.97
