#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tihz
#time = 2015-01-23 04:00:41.470000
#location = 8km NNW of Caldwell, Kansas
#latitude = 37.0946
#longitude = -97.6561
#depth = 5.1
#magnitude = 3.7
#magtype = mb_lg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tihz
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN01.HHZ.01,0.101043,305.542,Pg,2015-01-23 04:00:43.460,manual,-0.2,3.88
GS.KAN13.HHZ.01,0.164306,119.703,Pg,2015-01-23 04:00:44.730,manual,0.0,3.49
GS.KAN11.HHZ.01,0.233659,298.495,Pg,2015-01-23 04:00:45.970,manual,-0.1,3.14
GS.KAN14.HHZ.01,0.281504,240.843,Pg,2015-01-23 04:00:46.910,manual,0.0,2.94
GS.KAN08.HHZ.01,0.283964,297.763,Pg,2015-01-23 04:00:46.950,manual,0.0,2.93
GS.KAN12.HHZ.01,0.339877,306.659,Pg,2015-01-23 04:00:47.920,manual,-0.1,2.73
OK.KAY1.HHZ.--,0.486075,132.83,Pg,2015-01-23 04:00:50.660,manual,-0.2,2.31
GS.KAN10.HHZ.01,0.352137,274.831,Pg,2015-01-23 04:00:48.310,manual,0.0,2.69
OK.CROK.HHZ.--,0.644722,204.145,Pg,2015-01-23 04:00:53.730,manual,-0.1,1.98
GS.KS21.HNZ.20,0.191627,358.353,Pg,2015-01-23 04:00:45.070,manual,-0.2,3.34
OK.QUOK.HHZ.--,1.19606,140.102,Pg,2015-01-23 04:01:03.640,manual,-0.8,1.32
GS.OK029.HHZ.00,1.30553,172.802,Pn,2015-01-23 04:01:05.730,manual,-0.6,1.23
OK.BCOK.HHZ.--,1.43551,178.478,Pn,2015-01-23 04:01:07.970,manual,-0.2,1.21
GS.OK031.HHZ.00,1.31565,149.743,Pn,2015-01-23 04:01:05.750,manual,-0.7,1.23
GS.OK030.HHZ.00,1.3601,148.629,Pn,2015-01-23 04:01:06.310,manual,-0.8,1.22
GS.OK025.HHZ.00,1.53214,170.252,Pn,2015-01-23 04:01:09.420,manual,-0.1,1.2
GS.OK028.HHZ.00,1.60397,162.402,Pn,2015-01-23 04:01:10.100,manual,-0.4,1.19
GS.OK026.HHZ.00,1.68403,174.301,Pn,2015-01-23 04:01:11.360,manual,-0.2,1.18
OK.OKCSW.EHZ.--,1.69485,173.965,Pn,2015-01-23 04:01:12.020,manual,0.3,1.18
