#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tj71
#time = 2015-01-26 18:03:17
#location = 18km S of Perry, Oklahoma
#latitude = 36.1211
#longitude = -97.2887
#depth = 8.3
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tj71
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK028.HHZ.00,0.588535,161.645,Pg,2015-01-26 18:03:28.160,manual,-0.2,2.09
N4.T35B.BHZ.--,1.01056,38.0281,Pg,2015-01-26 18:03:35.930,manual,-0.5,1.49
OK.BCOK.HHZ.--,0.531535,209.42,Pg,2015-01-26 18:03:26.890,manual,-0.4,2.21
GS.OK025.HHZ.00,0.540333,184.257,Pg,2015-01-26 18:03:27.330,manual,-0.1,2.19
GS.KAN11.HHZ.01,1.19358,335.303,Pn,2015-01-26 18:03:38.920,manual,-1.1,1.24
OK.W35A.EHZ.--,1.0235,160.632,Pg,2015-01-26 18:03:35.620,manual,-1.0,1.48
GS.OK026.HHZ.00,0.71661,190.688,Pg,2015-01-26 18:03:30.680,manual,-0.1,1.86
US.WMOK.BHZ.10,1.84098,221.875,Pn,2015-01-26 18:03:48.180,manual,-0.7,1.15
GS.KAN12.HHZ.01,1.30506,334.315,Pn,2015-01-26 18:03:41.170,manual,-0.4,1.23
TA.TUL1.BHZ.--,1.23156,99.3894,Pn,2015-01-26 18:03:39.380,manual,-1.1,1.24
OK.U32A.BHZ.--,1.40822,281.057,Pn,2015-01-26 18:03:42.680,manual,-0.3,1.21
GS.KAN08.HHZ.01,1.23223,333.774,Pn,2015-01-26 18:03:39.710,manual,-0.8,1.24
OK.FNO.HHZ.01,0.866685,186.099,Pg,2015-01-26 18:03:33.420,manual,-0.3,1.65
OK.CROK.HHZ.--,0.679252,304.51,Pg,2015-01-26 18:03:29.970,manual,-0.1,1.92
OK.OKCSW.EHZ.--,0.724318,189.695,Pg,2015-01-26 18:03:30.780,manual,-0.2,1.85
GS.OK030.HHZ.00,0.452468,115.086,Pg,2015-01-26 18:03:25.670,manual,-0.1,2.4
GS.OK029.HHZ.00,0.350773,202.657,Pg,2015-01-26 18:03:23.810,manual,-0.1,2.69
GS.OK031.HHZ.00,0.401116,114.574,Pg,2015-01-26 18:03:24.840,manual,0.0,2.54
OK.QUOK.HHZ.--,0.472684,83.7332,Pg,2015-01-26 18:03:26.100,manual,-0.1,2.34
GS.KAN01.HHZ.01,1.09753,339.978,Pn,2015-01-26 18:03:37.360,manual,-1.3,1.26
GS.KAN10.HHZ.01,1.19236,327.278,Pn,2015-01-26 18:03:39.130,manual,-0.9,1.24
GS.OK027.HHZ.00,0.408256,179.418,Pg,2015-01-26 18:03:24.880,manual,-0.1,2.52
OK.X34A.HHZ.--,1.5805,196.494,Pn,2015-01-26 18:03:44.270,manual,-1.0,1.19
GS.KAN14.HHZ.01,0.995253,327.132,Pg,2015-01-26 18:03:35.850,manual,-0.3,1.51
GS.KAN13.HHZ.01,0.902971,350.35,Pg,2015-01-26 18:03:33.960,manual,-0.4,1.61
