#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tk8j
#time = 2015-01-29 22:15:23.100000
#location = 8km NW of Prague, Oklahoma
#latitude = 35.5429
#longitude = -96.7493
#depth = 6.2
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tk8j
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK028.HHZ.00,0.255145,274.172,Pg,2015-01-29 22:15:28.600,automatic,0.5,3.05
GS.OK031.HHZ.00,0.415784,349.907,Pg,2015-01-29 22:15:31.640,automatic,0.5,2.5
GS.OK027.HHZ.00,0.466838,291.344,Pg,2015-01-29 22:15:32.520,automatic,0.4,2.36
OK.QUOK.HHZ.--,0.628059,3.04984,Pg,2015-01-29 22:15:35.430,manual,0.2,2.01
GS.OK030.HHZ.00,0.385095,355.83,Pg,2015-01-29 22:15:31.120,manual,0.6,2.59
OK.OKCSW.EHZ.--,0.578606,256.494,Pg,2015-01-29 22:15:34.450,manual,0.2,2.11
GS.OK029.HHZ.00,0.627829,293.985,Pg,2015-01-29 22:15:35.080,manual,-0.1,2.01
GS.OK025.HHZ.00,0.481413,274.712,Pg,2015-01-29 22:15:32.420,manual,0.0,2.32
OK.FNO.HHZ.01,0.603972,242.048,Pg,2015-01-29 22:15:34.930,manual,0.2,2.06
GS.OK026.HHZ.00,0.587003,257.677,Pg,2015-01-29 22:15:34.450,manual,0.0,2.09
OK.CROK.HHZ.--,1.38635,314.174,Pn,2015-01-29 22:15:48.840,manual,-0.2,1.22
US.WMOK.BHZ.10,1.8484,244.833,Pn,2015-01-29 22:15:55.660,manual,0.3,1.16
GS.KAN14.HHZ.01,1.71853,325.547,Pn,2015-01-29 22:15:53.780,manual,0.2,1.17
AG.HHAR.HHZ.00,2.39671,71.2578,Pn,2015-01-29 22:16:03.450,manual,0.6,1.09
