#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tkcb
#time = 2015-01-30 14:24:22.100000
#location = 5km N of Cherokee, Oklahoma
#latitude = 36.8078
#longitude = -98.3641
#depth = 3.8
#magnitude = 3.6
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tkcb
#us_Mwr_mrr = -33050000000000
#us_Mwr_mtt = 371540000000000
#us_Mwr_mpp = -338490000000000
#us_Mwr_mrt = -90820000000000
#us_Mwr_mrp = 12020000000000
#us_Mwr_mtp = -72370000000000
#us_Mwr_np1_strike = 321.38
#us_Mwr_np1_dip = 81.94
#us_Mwr_np1_rake = 8.92
#us_Mwr_np2_strike = 230.12
#us_Mwr_np2_dip = 81.17
#us_Mwr_np2_rake = 171.84
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN10.HHZ.01,0.38172,34.2806,Pg,2015-01-30 14:24:29.910,manual,0.5,2.6
GS.KAN08.HHZ.01,0.52332,36.8499,Pg,2015-01-30 14:24:32.590,manual,0.4,2.22
GS.KAN11.HHZ.01,0.536836,42.1017,Pg,2015-01-30 14:24:32.880,manual,0.5,2.19
OK.CROK.HHZ.--,0.430386,134.545,Pg,2015-01-30 14:24:30.770,manual,0.4,2.45
GS.KAN01.HHZ.01,0.594788,54.3707,Pg,2015-01-30 14:24:33.880,manual,0.4,2.07
OK.GC02.EHZ.--,0.407128,83.6986,Pg,2015-01-30 14:24:30.320,manual,0.4,2.52
GS.OK031.HHZ.00,1.49733,124.272,Pn,2015-01-30 14:24:49.610,manual,-0.2,1.21
OK.QUOK.HHZ.--,1.47799,114.956,Pn,2015-01-30 14:24:49.450,manual,-0.1,1.21
GS.OK028.HHZ.00,1.63047,139.347,Pn,2015-01-30 14:24:51.740,manual,0.1,1.19
GS.OK030.HHZ.00,1.54857,124.079,Pn,2015-01-30 14:24:50.350,manual,-0.1,1.2
OK.OKCSW.EHZ.--,1.58766,151.539,Pn,2015-01-30 14:24:51.160,manual,0.1,1.19
US.WMOK.BHZ.10,2.09305,189.437,Pn,2015-01-30 14:24:58.090,manual,0.1,1.13
US.CBKS.BHZ.00,2.27903,331.913,Pn,2015-01-30 14:25:01.440,manual,0.9,1.11
US.KSU1.BHZ.10,2.67659,30.6755,Pn,2015-01-30 14:25:06.870,manual,0.9,1.06
N4.R32B.BHZ.--,1.63528,350.405,Pn,2015-01-30 14:24:52.410,manual,0.7,1.19
US.AMTX.BHZ.00,3.30837,235.51,Pn,2015-01-30 14:25:16.150,manual,1.4,1.0
AG.HHAR.HHZ.00,3.60081,97.0573,Pn,2015-01-30 14:25:19.110,manual,0.4,0.97
N4.T35B.BHZ.--,1.48939,85.2791,Pn,2015-01-30 14:24:49.590,manual,-0.1,1.21
GS.KAN14.HHZ.01,0.354322,65.0628,Pg,2015-01-30 14:24:29.400,manual,0.5,2.68
GS.KAN12.HHZ.01,0.569736,30.8251,Pg,2015-01-30 14:24:33.410,manual,0.4,2.12
GS.KAN13.HHZ.01,0.73928,73.6584,Pg,2015-01-30 14:24:36.350,manual,0.1,1.83
GS.OK029.HHZ.00,1.2481,143.683,Pn,2015-01-30 14:24:45.610,manual,-0.7,1.24
GS.OK025.HHZ.00,1.47906,145.555,Pn,2015-01-30 14:24:49.460,manual,-0.1,1.21
GS.OK026.HHZ.00,1.5739,151.724,Pn,2015-01-30 14:24:50.810,manual,0.0,1.2
OK.X34A.HHZ.--,2.24411,168.73,Pn,2015-01-30 14:25:01.170,manual,1.1,1.11
OK.U32A.BHZ.--,0.66767,230.382,Pg,2015-01-30 14:24:34.940,manual,0.0,1.94
