#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tl3l
#time = 2015-02-02 22:09:36.850000
#location = 2km S of Perry, Oklahoma
#latitude = 36.2640
#longitude = -97.2850
#depth = 6.9
#magnitude = 3.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tl3l
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.475664,101.032,Pg,2015-02-02 22:09:46.260,manual,0.2,2.34
GS.OK031.HHZ.00,0.476066,130.539,Pg,2015-02-02 22:09:46.240,manual,0.2,2.34
OK.KAY1.HHZ.--,0.501156,6.69962,Pg,2015-02-02 22:09:46.760,manual,0.2,2.28
GS.OK030.HHZ.00,0.526632,129.426,Pg,2015-02-02 22:09:47.140,manual,0.1,2.22
OK.CROK.HHZ.--,0.612629,293.293,Pg,2015-02-02 22:09:48.700,manual,0.0,2.04
GS.OK029.HHZ.00,0.48633,196.5,Pg,2015-02-02 22:09:46.380,manual,0.1,2.31
GS.OK025.HHZ.00,0.682809,183.621,Pg,2015-02-02 22:09:50.030,manual,0.0,1.92
GS.OK027.HHZ.00,0.550842,179.881,Pg,2015-02-02 22:09:47.630,manual,0.1,2.16
OK.GC02.EHZ.--,0.746881,321.897,Pg,2015-02-02 22:09:51.110,manual,-0.1,1.81
GS.KAN01.HHZ.01,0.965948,336.917,Pg,2015-02-02 22:09:55.140,manual,-0.3,1.54
GS.OK028.HHZ.00,0.72452,165.425,Pg,2015-02-02 22:09:50.630,manual,-0.2,1.85
N4.T35B.BHZ.--,0.900464,43.4785,Pg,2015-02-02 22:09:54.010,manual,-0.1,1.61
US.KSU1.BHZ.10,2.88228,10.5122,Pn,2015-02-02 22:10:23.860,manual,0.6,1.03
N4.R32B.BHZ.--,2.43593,332.619,Pn,2015-02-02 22:10:17.520,manual,0.4,1.08
N4.R40B.BHZ.--,4.48306,61.6742,Pn,2015-02-02 22:10:45.850,manual,0.6,0.89
N4.Z35B.BHZ.--,2.9263,179.475,Pn,2015-02-02 22:10:24.750,manual,0.9,1.03
US.CBKS.BHZ.00,3.20595,323.295,Pn,2015-02-02 22:10:27.710,manual,0.0,1.0
ZW.AZDA.EHZ.01,3.29086,183.961,Pn,2015-02-02 22:10:30.340,manual,1.5,0.99
N4.S39B.BHZ.--,3.47768,64.6445,Pn,2015-02-02 22:10:31.750,manual,0.3,0.98
