#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tlug
#time = 2015-02-05 03:04:50.800000
#location = 16km NE of Edmond, Oklahoma
#latitude = 35.7451
#longitude = -97.3415
#depth = 6.3
#magnitude = 2.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tlug
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK025.HHZ.00,0.163668,178.972,Pg,2015-02-05 03:04:54.360,manual,0.2,3.49
GS.OK029.HHZ.00,0.105574,299.163,Pg,2015-02-05 03:04:53.110,manual,0.0,3.85
OK.BCOK.HHZ.--,0.23514,248.046,Pg,2015-02-05 03:04:55.520,manual,0.1,3.14
OK.OKCSW.EHZ.--,0.347869,193.098,Pg,2015-02-05 03:04:57.860,manual,0.3,2.7
GS.OK031.HHZ.00,0.4579,62.8986,Pg,2015-02-05 03:04:59.890,manual,0.2,2.38
OK.FNO.HHZ.01,0.489055,185.734,Pg,2015-02-05 03:05:00.680,manual,0.4,2.3
TA.TUL1.BHZ.--,1.27001,82.0843,Pn,2015-02-05 03:05:13.660,manual,-1.4,1.24
GS.OK030.HHZ.00,0.488458,67.9213,Pg,2015-02-05 03:05:00.400,manual,0.2,2.31
OK.CROK.HHZ.--,0.919064,325.755,Pg,2015-02-05 03:05:08.190,manual,-0.3,1.59
N4.T35B.BHZ.--,1.3471,29.5758,Pn,2015-02-05 03:05:15.700,manual,-0.4,1.22
OK.U32A.BHZ.--,1.48646,295.694,Pn,2015-02-05 03:05:17.830,manual,-0.2,1.2
OK.X37A.BHZ.--,1.98375,124.974,Pn,2015-02-05 03:05:25.360,manual,0.5,1.14
US.MIAR.BHZ.00,3.30919,110.112,Pn,2015-02-05 03:05:44.050,manual,1.0,0.99
GS.OK028.HH2.00,0.292822,128.747,Sg,2015-02-05 03:05:01.400,manual,1.0,1.27
GS.OK028.HHZ.00,0.292822,128.747,Pg,2015-02-05 03:04:56.970,manual,0.4,2.9
GS.KAN13.HHZ.01,1.27003,355.072,Pn,2015-02-05 03:05:14.260,manual,-0.8,1.24
GS.OK029.HH1.00,0.105574,299.163,Sg,2015-02-05 03:04:54.970,manual,0.3,1.38
GS.OK026.HH2.00,0.341054,195.261,Sg,2015-02-05 03:05:02.900,manual,1.0,1.25
GS.OK026.HHZ.00,0.341054,195.261,Pg,2015-02-05 03:04:57.740,manual,0.3,2.73
OK.OKCSW.EHE.--,0.347869,193.098,Sg,2015-02-05 03:05:02.780,manual,0.6,1.25
GS.OK031.HH2.00,0.4579,62.8986,Sg,2015-02-05 03:05:06.080,manual,0.4,1.2
GS.OK030.HH2.00,0.488458,67.9213,Sg,2015-02-05 03:05:07.190,manual,0.6,1.18
OK.FNO.HHE.01,0.489055,185.734,Sg,2015-02-05 03:05:07.960,manual,1.3,1.18
OK.QUOK.HHZ.--,0.667177,50.2001,Pg,2015-02-05 03:05:03.590,manual,0.0,1.94
OK.QUOK.HHN.--,0.667177,50.2001,Sg,2015-02-05 03:05:12.680,manual,0.4,1.11
OK.W35A.HHZ.--,0.703395,147.04,Pg,2015-02-05 03:05:04.070,manual,-0.3,1.88
OK.W35A.HHE.--,0.703395,147.04,Sg,2015-02-05 03:05:13.940,manual,0.5,1.09
OK.KAY1.HHZ.--,1.02089,5.83781,Pg,2015-02-05 03:05:09.390,manual,-1.0,1.48
GS.KAN10.HHZ.01,1.5039,336.388,Pn,2015-02-05 03:05:18.300,manual,0.0,1.2
US.WMOK.BHZ.10,1.54841,229.952,Pn,2015-02-05 03:05:18.490,manual,-0.4,1.2
US.AMTX.BHZ.00,3.651,257.647,Pn,2015-02-05 03:05:48.810,manual,0.9,0.96
TA.U40A.BHZ.--,3.68738,79.1636,Pn,2015-02-05 03:05:48.520,manual,0.2,0.96
N4.S39B.BHZ.--,3.76764,57.7871,Pn,2015-02-05 03:05:49.690,manual,0.3,0.95
AG.WHAR.HHZ.00,4.14618,94.8147,Pn,2015-02-05 03:05:55.060,manual,0.5,0.92
GS.KAN14.HHZ.01,1.3092,337.65,Pn,2015-02-05 03:05:14.860,manual,-0.8,1.23
N4.U38B.BHZ.--,2.49216,72.9917,Pn,2015-02-05 03:05:33.280,manual,1.4,1.08
OK.GC02.EHZ.--,1.18082,339.394,Pg,2015-02-05 03:05:12.640,manual,-0.8,1.34
AG.HHAR.HHZ.00,2.80917,78.0084,Pn,2015-02-05 03:05:36.920,manual,0.7,1.04
TA.W39A.BHZ.--,2.95487,99.6491,Pn,2015-02-05 03:05:38.890,manual,0.7,1.03
