#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tmuc
#time = 2015-02-06 07:52:35.100000
#location = 16km ENE of Cherokee, Oklahoma
#latitude = 36.7977
#longitude = -98.1811
#depth = 6.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tmuc
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN14.HHZ.01,0.236223,47.6947,Pg,2015-02-06 07:52:39.500,manual,-0.3,3.13
GS.KAN10.HHZ.01,0.332405,11.934,Pg,2015-02-06 07:52:41.860,manual,0.3,2.76
OK.CROK.HHZ.--,0.332855,151.409,Pg,2015-02-06 07:52:41.980,manual,0.4,2.75
GS.KAN08.HHZ.01,0.460069,21.3879,Pg,2015-02-06 07:52:44.490,manual,0.5,2.38
GS.OK025.HHZ.00,1.39258,150.422,Pn,2015-02-06 07:53:00.990,manual,-0.1,1.22
OK.QUOK.HHZ.--,1.34167,117.327,Pn,2015-02-06 07:53:00.400,manual,0.0,1.23
GS.OK028.HHZ.00,1.53084,143.387,Pn,2015-02-06 07:53:03.300,manual,0.3,1.2
N4.T35B.BHZ.--,1.344,84.4511,Pn,2015-02-06 07:53:00.180,manual,-0.3,1.23
N4.R32B.BHZ.--,1.6757,345.614,Pn,2015-02-06 07:53:04.520,manual,-0.5,1.18
GS.KAN12.HHZ.01,0.519841,16.3126,Pg,2015-02-06 07:52:45.600,manual,0.5,2.23
GS.KAN13.HHZ.01,0.60327,68.9311,Pg,2015-02-06 07:52:46.940,manual,0.2,2.06
OK.U32A.BHZ.--,0.78108,237.945,Pg,2015-02-06 07:52:50.210,manual,0.1,1.76
GS.OK029.HHZ.00,1.15857,149.363,Pg,2015-02-06 07:52:56.820,manual,-0.5,1.36
OK.BCOK.HHZ.--,1.22894,157.732,Pg,2015-02-06 07:52:57.930,manual,-0.7,1.3
GS.KAN14.HHN.01,0.236223,47.6947,Sg,2015-02-06 07:52:43.730,manual,0.8,1.3
GS.KAN10.HHE.01,0.332405,11.934,Sg,2015-02-06 07:52:46.870,manual,0.9,1.25
OK.CROK.HHE.--,0.332855,151.409,Sg,2015-02-06 07:52:46.820,manual,0.9,1.25
GS.KAN08.HHE.01,0.460069,21.3879,Sg,2015-02-06 07:52:50.770,manual,0.8,1.19
GS.KAN12.HHE.01,0.519841,16.3126,Sg,2015-02-06 07:52:53.050,manual,1.1,1.17
