#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tn5f
#time = 2015-02-08 04:41:38.700000
#location = 4km SSE of Perry, Oklahoma
#latitude = 36.2560
#longitude = -97.2640
#depth = 6.1
#magnitude = 3.3
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tn5f
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN11.HHZ.01,1.08217,331.377,Pg,2015-02-08 04:41:59.180,manual,-0.3,1.42
GS.KAN10.HHZ.01,1.09357,322.595,Pg,2015-02-08 04:41:59.360,manual,-0.3,1.41
US.WMOK.BHZ.10,1.95599,219.693,Pn,2015-02-08 04:42:12.950,manual,0.5,1.14
OK.U32A.BHZ.--,1.40858,275.534,Pn,2015-02-08 04:42:04.570,manual,-0.4,1.22
US.CBKS.BHZ.00,3.22251,323.151,Pn,2015-02-08 04:42:30.320,manual,0.4,1.0
OK.QUOK.HHZ.--,0.457497,100.47,Pg,2015-02-08 04:41:47.860,manual,0.3,2.38
AG.HHAR.HHZ.00,2.68624,88.4633,Pn,2015-02-08 04:42:23.550,manual,1.1,1.06
OK.X37A.BHZ.--,2.27046,136.541,Pn,2015-02-08 04:42:17.420,manual,0.7,1.1
N4.S39B.BHZ.--,3.46579,64.4178,Pn,2015-02-08 04:42:33.870,manual,0.7,0.98
N4.U38B.BHZ.--,2.33085,84.6442,Pn,2015-02-08 04:42:18.300,manual,0.7,1.1
GS.OK029.HHZ.00,0.483855,198.709,Pg,2015-02-08 04:41:48.340,manual,0.3,2.32
OK.KAY1.HHZ.--,0.507415,4.70266,Pg,2015-02-08 04:41:48.680,manual,0.2,2.26
GS.OK030.HHZ.00,0.508471,129.959,Pg,2015-02-08 04:41:48.800,manual,0.3,2.26
GS.OK031.HHZ.00,0.458004,131.173,Pg,2015-02-08 04:41:47.860,manual,0.3,2.38
OK.CROK.HHZ.--,0.631378,293.361,Pg,2015-02-08 04:41:50.890,manual,0.0,2.01
GS.KAN13.HHZ.01,0.77475,347.239,Pg,2015-02-08 04:41:53.550,manual,0.0,1.77
GS.OK026.HHZ.00,0.852619,190.343,Pg,2015-02-08 04:41:54.950,manual,-0.1,1.67
GS.OK028.HHZ.00,0.712669,166.597,Pg,2015-02-08 04:41:52.270,manual,-0.1,1.87
GS.KAN14.HHZ.01,0.89752,321.403,Pg,2015-02-08 04:41:55.690,manual,-0.2,1.61
OK.OKCSW.EHZ.--,0.860387,189.51,Pg,2015-02-08 04:41:55.070,manual,-0.2,1.66
GS.KAN01.HHZ.01,0.980026,336.199,Pg,2015-02-08 04:41:57.160,manual,-0.4,1.52
