#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000tnn1
#time = 2015-02-10 10:22:40.800000
#location = 7km S of Guthrie, Oklahoma
#latitude = 35.8099
#longitude = -97.4281
#depth = 5.7
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000tnn1
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
TA.TUL1.BHZ.--,1.33287,85.2059,Pn,2015-02-10 10:23:04.840,manual,-1.2,1.23
OK.U32A.BHZ.--,1.39526,294.503,Pn,2015-02-10 10:23:06.350,manual,-0.5,1.22
GS.OK029.HHZ.00,0.02551,238.664,Pg,2015-02-10 10:22:42.190,manual,0.2,4.47
GS.OK025.HHZ.00,0.239819,162.146,Pg,2015-02-10 10:22:46.030,manual,0.5,3.12
OK.BCOK.HHZ.--,0.212372,224.014,Pg,2015-02-10 10:22:45.310,manual,0.3,3.24
GS.OK028.HHZ.00,0.388264,129.641,Pg,2015-02-10 10:22:48.720,manual,0.4,2.58
GS.OK026.HHZ.00,0.394197,182.767,Pg,2015-02-10 10:22:48.750,manual,0.3,2.56
OK.FNO.HHZ.01,0.55172,177.713,Pg,2015-02-10 10:22:51.990,manual,0.6,2.16
GS.OK030.HHZ.00,0.536378,77.1409,Pg,2015-02-10 10:22:51.420,manual,0.3,2.2
GS.OK031.HHZ.00,0.499209,73.1942,Pg,2015-02-10 10:22:50.760,manual,0.3,2.28
OK.QUOK.HHZ.--,0.686421,58.0842,Pg,2015-02-10 10:22:54.080,manual,0.1,1.91
US.WMOK.BHZ.10,1.53907,226.37,Pn,2015-02-10 10:23:08.840,manual,0.0,1.2
OK.KAY1.HHZ.--,0.966734,10.3318,Pg,2015-02-10 10:22:59.120,manual,-0.2,1.54
US.KSU1.BHZ.10,3.34912,10.9699,Pn,2015-02-10 10:23:33.610,manual,-0.1,0.99
US.AMTX.BHZ.00,3.59693,256.351,Pn,2015-02-10 10:23:36.240,manual,-1.0,0.97
US.CBKS.BHZ.00,3.51851,329.144,Pn,2015-02-10 10:23:36.420,manual,0.3,0.97
OK.X37A.BHZ.--,2.07855,125.272,Pn,2015-02-10 10:23:16.670,manual,0.4,1.13
TA.U40A.BHZ.--,3.74514,80.286,Pn,2015-02-10 10:23:40.060,manual,0.9,0.95
TA.WHTX.BHZ.--,3.80892,180.358,Pn,2015-02-10 10:23:40.960,manual,0.9,0.95
