#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000ts3z
#time = 2015-02-21 06:45:43.700000
#location = 24km SSE of Medford, Oklahoma
#latitude = 36.6002
#longitude = -97.6284
#depth = 3.3
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000ts3z
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.857168,119.677,Pg,2015-02-21 06:46:00.090,manual,0.0,2.0
GS.OK031.HHZ.00,0.907644,135.123,Pg,2015-02-21 06:46:01.030,manual,-0.1,1.6
N4.T35B.BHZ.--,0.950493,70.2875,Pg,2015-02-21 06:46:01.910,manual,0.0,1.55
TA.TUL1.BHZ.--,1.63622,114.335,Pn,2015-02-21 06:46:13.390,manual,0.0,1.19
OK.CROK.HHZ.--,0.301321,251.665,Pg,2015-02-21 06:45:49.940,manual,0.4,2.87
GS.KAN14.HHZ.01,0.445915,323.055,Pg,2015-02-21 06:45:52.800,manual,0.5,2.41
OK.KAY1.HHZ.--,0.371817,64.0147,Pg,2015-02-21 06:45:51.440,manual,0.6,2.63
GS.KAN13.HHZ.01,0.429279,16.3089,Pg,2015-02-21 06:45:52.510,manual,0.6,2.46
GS.KAN10.HHZ.01,0.642572,324.514,Pg,2015-02-21 06:45:56.360,manual,0.3,1.99
GS.OK030.HHZ.00,0.957189,134.26,Pg,2015-02-21 06:46:01.930,manual,-0.1,1.55
OK.OKCSW.EHZ.--,1.20216,172.565,Pg,2015-02-21 06:46:06.290,manual,-0.5,1.32
OK.FNO.HHZ.01,1.35259,172.098,Pn,2015-02-21 06:46:09.360,manual,-0.1,1.23
OK.X34A.HHZ.--,2.00176,184.828,Pn,2015-02-21 06:46:19.320,manual,0.9,1.14
US.KSU1.BHZ.10,2.62353,17.5952,Pn,2015-02-21 06:46:28.150,manual,1.2,1.07
US.CBKS.BHZ.00,2.77146,323.519,Pn,2015-02-21 06:46:29.770,manual,0.7,1.05
N4.R32B.BHZ.--,2.01251,335.001,Pn,2015-02-21 06:46:19.830,manual,1.3,1.14
US.MIAR.BHZ.00,3.8872,120.637,Pn,2015-02-21 06:46:48.040,manual,3.7,0.94
TA.U40A.BHZ.--,3.8558,92.1971,Pn,2015-02-21 06:46:45.120,manual,1.2,0.95
N4.S39B.BHZ.--,3.60828,71.1486,Pn,2015-02-21 06:46:41.480,manual,1.0,0.97
TA.X40A.BHZ.--,4.44111,116.925,Pn,2015-02-21 06:46:52.010,manual,0.1,0.9
N4.P40B.BHZ.--,5.28547,54.7156,Pn,2015-02-21 06:47:05.190,manual,1.7,0.84
N4.R40B.BHZ.--,4.58679,66.8,Pn,2015-02-21 06:46:54.130,manual,0.2,0.89
N4.P38B.BHZ.--,4.42162,45.6883,Pn,2015-02-21 06:46:52.010,manual,0.4,0.9
OK.U32A.BHZ.--,1.12815,259.15,Pg,2015-02-21 06:46:04.830,manual,-0.5,1.38
GS.OK026.HHZ.00,1.1911,173.028,Pg,2015-02-21 06:46:06.250,manual,-0.3,1.33
TA.W39A.BHZ.--,3.4211,113.04,Pn,2015-02-21 06:46:40.290,manual,2.4,0.98
OK.CROK.HHN.--,0.301321,251.665,Sg,2015-02-21 06:45:54.430,manual,1.0,1.27
OK.KAY1.HHN.--,0.371817,64.0147,Sg,2015-02-21 06:45:56.770,manual,1.1,1.24
GS.KAN13.HHE.01,0.429279,16.3089,Sg,2015-02-21 06:45:58.610,manual,1.1,1.21
GS.KAN14.HHN.01,0.445915,323.055,Sg,2015-02-21 06:45:58.920,manual,0.9,1.2
GS.KAN05.HHE.01,0.543835,338.99,Sg,2015-02-21 06:46:01.880,manual,0.7,1.16
GS.KAN01.HHN.01,0.561993,349.3,Sg,2015-02-21 06:46:02.380,manual,0.6,1.15
GS.KAN10.HHN.01,0.642572,324.514,Sg,2015-02-21 06:46:05.340,manual,1.0,1.12
GS.KAN11.HHE.01,0.646342,339.395,Sg,2015-02-21 06:46:05.060,manual,0.6,1.12
GS.KAN08.HHE.01,0.682913,336.402,Sg,2015-02-21 06:46:06.510,manual,0.8,1.1
GS.KAN12.HHE.01,0.756258,337.062,Sg,2015-02-21 06:46:08.390,manual,0.4,1.07
GS.OK029.HH2.00,0.814139,170.023,Sg,2015-02-21 06:46:10.280,manual,0.4,1.05
OK.QUOK.HHN.--,0.857168,119.677,Sg,2015-02-21 06:46:10.740,manual,-0.5,1.04
OK.BCOK.HHE.--,0.941679,179.053,Sg,2015-02-21 06:46:14.250,manual,0.3,1.01
GS.OK025.HH2.00,1.04385,166.887,Sg,2015-02-21 06:46:17.320,manual,0.1,0.98
GS.OK028.HH2.00,1.13411,155.942,Sg,2015-02-21 06:46:19.930,manual,-0.2,0.95
