#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000ttbp
#time = 2015-02-26 07:32:52.300000
#location = 11km N of Perry, Oklahoma
#latitude = 36.3933
#longitude = -97.2870
#depth = 6.8
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000ttbp
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.KAY1.HHZ.--,0.373559,9.25392,Pg,2015-02-26 07:32:59.830,manual,0.3,2.62
OK.QUOK.HHZ.--,0.517598,115.159,Pg,2015-02-26 07:33:02.520,manual,0.2,2.24
OK.CROK.HHZ.--,0.572395,281.407,Pg,2015-02-26 07:33:03.360,manual,0.0,2.12
GS.OK029.HHZ.00,0.610792,192.913,Pg,2015-02-26 07:33:04.030,manual,0.0,2.04
OK.BCOK.HHZ.--,0.780109,199.662,Pg,2015-02-26 07:33:07.090,manual,-0.2,1.77
GS.OK031.HHZ.00,0.569487,140.346,Pg,2015-02-26 07:33:03.400,manual,0.1,2.13
GS.OK025.HHZ.00,0.811546,182.93,Pg,2015-02-26 07:33:07.760,manual,-0.1,1.72
OK.FNO.HHZ.01,1.13727,184.714,Pg,2015-02-26 07:33:13.840,manual,-0.3,1.37
US.MIAR.BHZ.00,3.5454,120.245,Pn,2015-02-26 07:33:48.930,manual,1.1,0.97
GS.OK030.HHZ.00,0.617756,138.614,Pg,2015-02-26 07:33:04.270,manual,0.1,2.03
GS.OK028.HHZ.00,0.850373,167.507,Pg,2015-02-26 07:33:08.260,manual,-0.4,1.67
OK.OKCSW.EHZ.--,0.993305,187.134,Pg,2015-02-26 07:33:11.010,manual,-0.4,1.51
US.WMOK.BHZ.10,2.0521,216.837,Pn,2015-02-26 07:33:28.570,manual,1.3,1.13
N4.T35B.BHZ.--,0.812934,49.8303,Pg,2015-02-26 07:33:07.860,manual,-0.1,1.72
TA.TUL1.BHZ.--,1.30245,111.273,Pn,2015-02-26 07:33:16.840,manual,-0.1,1.23
OK.X37A.BHZ.--,2.38406,138.468,Pn,2015-02-26 07:33:33.220,manual,1.4,1.09
OK.QUOK.HHN.--,0.517598,115.159,Sg,2015-02-26 07:33:09.500,manual,0.4,1.17
OK.CROK.HHN.--,0.572395,281.407,Sg,2015-02-26 07:33:11.320,manual,0.5,1.15
GS.OK031.HH2.00,0.569487,140.346,Sg,2015-02-26 07:33:11.280,manual,0.6,1.15
GS.OK029.HH2.00,0.610792,192.913,Sg,2015-02-26 07:33:12.310,manual,0.3,1.13
GS.KAN13.HHZ.01,0.637128,346.131,Pg,2015-02-26 07:33:04.570,manual,0.0,2.0
GS.KAN14.HHE.01,0.782079,316.183,Sg,2015-02-26 07:33:17.680,manual,0.2,1.06
OK.BCOK.HHE.--,0.780109,199.662,Sg,2015-02-26 07:33:17.770,manual,0.3,1.07
N4.T35B.BHN.--,0.812934,49.8303,Sg,2015-02-26 07:33:18.500,manual,0.0,1.05
GS.OK025.HH2.00,0.811546,182.93,Sg,2015-02-26 07:33:18.670,manual,0.2,1.05
GS.OK028.HH1.00,0.850373,167.507,Sg,2015-02-26 07:33:19.710,manual,0.0,1.04
GS.OK026.HH2.00,0.985016,187.836,Sg,2015-02-26 07:33:24.210,manual,0.2,1.0
US.AMTX.BHZ.00,3.88255,248.466,Pn,2015-02-26 07:33:53.680,manual,1.2,0.94
GS.KAN14.HHZ.01,0.782079,316.183,Pg,2015-02-26 07:33:07.150,manual,-0.2,1.76
GS.KAN12.HHZ.01,1.06751,327.918,Pg,2015-02-26 07:33:12.460,manual,-0.3,1.44
GS.OK026.HHZ.00,0.985016,187.836,Pg,2015-02-26 07:33:10.790,manual,-0.4,1.52
OK.U32A.BHZ.--,1.38345,269.938,Pn,2015-02-26 07:33:17.930,manual,-0.2,1.22
AG.HHAR.HHZ.00,2.70462,91.3611,Pn,2015-02-26 07:33:37.630,manual,1.4,1.05
TA.U40A.BHZ.--,3.57794,89.2759,Pn,2015-02-26 07:33:49.670,manual,1.4,0.97
TA.X40A.BHZ.--,4.10264,116.307,Pn,2015-02-26 07:33:57.210,manual,1.8,0.92
