#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000twp6
#time = 2015-03-09 03:24:40.400000
#location = 7km SSW of Guthrie, Oklahoma
#latitude = 35.8150
#longitude = -97.4481
#depth = 4.5
#magnitude = 3.7
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000twp6
#us_Mwr_mrr = -117000000000000
#us_Mwr_mtt = 431000000000000
#us_Mwr_mpp = -313000000000000
#us_Mwr_mrt = -21000000000000
#us_Mwr_mrp = 192000000000000
#us_Mwr_mtp = 6100000000000
#us_Mwr_np1_strike = 130
#us_Mwr_np1_dip = 70
#us_Mwr_np1_rake = -25
#us_Mwr_np2_strike = 229
#us_Mwr_np2_dip = 67
#us_Mwr_np2_rake = -158
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.OKCSW.EHZ.--,0.40869,178.844,Pg,2015-03-09 03:24:48.590,manual,0.3,2.52
GS.OK031.HHZ.00,0.513385,74.2509,Pg,2015-03-09 03:24:50.570,manual,0.3,2.25
GS.OK029.HHZ.00,0.0191743,196.77,Pg,2015-03-09 03:24:41.620,manual,0.3,4.53
OK.QUOK.HHZ.--,0.697645,59.1331,Pg,2015-03-09 03:24:53.930,manual,0.1,1.89
OK.KAY1.HHZ.--,0.964789,11.3239,Pg,2015-03-09 03:24:58.740,manual,-0.2,1.54
GS.KAN13.HHZ.01,1.19574,358.861,Pn,2015-03-09 03:25:02.910,manual,-1.0,1.25
OK.GC02.EHZ.--,1.08646,342.313,Pg,2015-03-09 03:25:00.820,manual,-0.4,1.69
GS.KAN14.HHZ.01,1.21289,340.119,Pg,2015-03-09 03:25:02.960,manual,-0.7,1.31
GS.KAN01.HHZ.01,1.35904,349.468,Pn,2015-03-09 03:25:05.640,manual,-0.5,1.23
US.WMOK.BHZ.10,1.5309,225.801,Pn,2015-03-09 03:25:08.160,manual,-0.3,1.2
GS.KAN11.HHZ.01,1.43794,345.03,Pn,2015-03-09 03:25:06.900,manual,-0.3,1.21
GS.KAN12.HHZ.01,1.54431,343.502,Pn,2015-03-09 03:25:08.750,manual,0.1,1.2
GS.KAN08.HHZ.01,1.4705,343.513,Pn,2015-03-09 03:25:07.540,manual,-0.1,1.21
GS.OK025.HHZ.00,0.250035,158.945,Pg,2015-03-09 03:24:45.780,manual,0.5,3.07
GS.KS20.HHZ.00,1.41449,356.564,Pn,2015-03-09 03:25:06.590,manual,-0.3,1.22
AG.HHAR.HHZ.00,2.88071,79.661,Pn,2015-03-09 03:25:26.770,manual,-0.3,1.04
N4.R32B.BHZ.--,2.79155,339.178,Pn,2015-03-09 03:25:26.010,manual,0.2,1.05
N4.Z35B.BHZ.--,2.48334,176.227,Pn,2015-03-09 03:25:22.240,manual,0.7,1.08
OK.OKCFA.HHZ.--,0.398838,180.388,Pg,2015-03-09 03:24:48.400,manual,0.3,2.54
US.SCIA.BHZ.00,6.92044,27.205,Pn,2015-03-09 03:26:22.670,manual,0.1,0.86
US.ECSD.BHZ.10,7.93487,4.3824,Pn,2015-03-09 03:26:34.670,manual,-1.8,0.9
N4.N35B.BHZ.--,5.23421,15.1851,Pn,2015-03-09 03:25:59.070,manual,-0.3,0.84
N4.P40B.BHZ.--,5.66465,47.4982,Pn,2015-03-09 03:26:04.680,manual,-0.6,0.81
N4.W45B.BHZ.--,6.77253,93.1526,Pn,2015-03-09 03:26:18.830,manual,-1.7,0.85
GS.OK009.HNZ.01,0.234095,174.966,Pg,2015-03-09 03:24:45.410,manual,0.4,3.14
IM.TX31.BHZ.--,8.32274,220.819,Pn,2015-03-09 03:26:40.250,manual,-1.6,0.92
N4.L40A.BHZ.--,7.90086,35.974,Pn,2015-03-09 03:26:34.380,manual,-1.6,0.9
N4.P43A.BHZ.--,7.35032,56.3304,Pn,2015-03-09 03:26:27.550,manual,-0.9,0.88
US.ACSO.BHZ.00,12.2281,64.529,Pn,2015-03-09 03:27:32.320,manual,-2.9,0.7
US.COWI.BHZ.00,12.0345,28.8324,Pn,2015-03-09 03:27:29.870,manual,-2.7,0.72
US.GLMI.BHZ.00,13.2828,43.4428,Pn,2015-03-09 03:27:45.970,manual,-3.7,0.64
US.RLMT.BHZ.00,12.9248,319.599,Pn,2015-03-09 03:27:43.500,manual,-1.5,0.66
