#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000twrg
#time = 2015-03-09 14:54:24
#location = 13km NW of Cushing, Oklahoma
#latitude = 36.0852
#longitude = -96.8566
#depth = 5.3
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000twrg
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK032.HHZ.00,1.3061,303.705,Pn,2015-03-09 14:54:48.200,manual,-0.7,1.23
NQ.OK914.HNZ.01,0.12164,159.793,Pg,2015-03-09 14:54:26.810,manual,0.3,3.74
OK.OKCFA.HHZ.--,0.825182,216.071,Pg,2015-03-09 14:54:39.420,manual,-0.4,1.7
GS.OK029.HHZ.00,0.564505,239.501,Pg,2015-03-09 14:54:34.910,manual,0.0,2.14
GS.OK025.HHZ.00,0.637174,218.006,Pg,2015-03-09 14:54:36.070,manual,-0.2,1.99
OK.BCOK.HHZ.--,0.746037,235.251,Pg,2015-03-09 14:54:38.240,manual,-0.1,1.82
GS.KAN14.HHZ.01,1.24538,314.633,Pn,2015-03-09 14:54:47.210,manual,-0.9,1.24
OK.GC02.EHZ.--,1.11289,313.705,Pg,2015-03-09 14:54:44.850,manual,-0.5,1.39
GS.KAN11.HHZ.01,1.40481,323.089,Pn,2015-03-09 14:54:50.100,manual,-0.2,1.22
GS.KAN10.HHZ.01,1.4377,316.486,Pn,2015-03-09 14:54:50.580,manual,-0.1,1.21
OK.CROK.HHZ.--,1.00195,295.03,Pg,2015-03-09 14:54:42.960,manual,-0.3,1.5
US.WMOK.BHZ.10,2.06809,230.02,Pn,2015-03-09 14:54:59.790,manual,0.4,1.13
N4.T35B.BHZ.--,0.874619,18.4127,Pg,2015-03-09 14:54:40.590,manual,-0.2,1.64
US.MIAR.BHZ.00,3.09102,118.845,Pn,2015-03-09 14:55:14.060,manual,0.6,1.01
TA.W39A.BHZ.--,2.65521,108.621,Pn,2015-03-09 14:55:08.340,manual,0.9,1.06
GS.KAN09.HHZ.01,1.21477,329.927,Pg,2015-03-09 14:54:46.780,manual,-0.5,1.31
GS.OK031.HHZ.00,0.132588,173.854,Pg,2015-03-09 14:54:26.910,manual,0.2,3.67
OK.QUOK.HHZ.--,0.147891,54.3903,Pg,2015-03-09 14:54:27.350,manual,0.4,3.58
GS.OK012.HNZ.01,0.581768,183.555,Pg,2015-03-09 14:54:35.310,manual,0.1,2.1
OK.KAY1.HHZ.--,0.734456,337.12,Pg,2015-03-09 14:54:38.130,manual,0.0,1.83
OK.OKCSW.EHZ.--,0.826858,215.059,Pg,2015-03-09 14:54:38.970,manual,-0.9,1.7
TA.TUL1.BHZ.--,0.880814,101.109,Pg,2015-03-09 14:54:40.340,manual,-0.6,1.63
OK.FNO.HHZ.01,0.937501,208.387,Pg,2015-03-09 14:54:41.630,manual,-0.4,1.57
GS.KAN13.HHZ.01,1.05235,331.803,Pg,2015-03-09 14:54:43.790,manual,-0.4,1.45
GS.KS20.HHZ.00,1.2726,334.049,Pn,2015-03-09 14:54:47.850,manual,-0.6,1.24
NQ.OK914.HNE.01,0.12164,159.793,Sg,2015-03-09 14:54:28.880,manual,0.7,1.37
GS.OK031.HH2.00,0.132588,173.854,Sg,2015-03-09 14:54:29.050,manual,0.5,1.36
OK.QUOK.HHE.--,0.147891,54.3903,Sg,2015-03-09 14:54:29.640,manual,0.6,1.35
NQ.OK915.HNE.01,0.14793,152.567,Pg,2015-03-09 14:54:29.640,manual,2.6,3.58
GS.OK025.HH2.00,0.637174,218.006,Sg,2015-03-09 14:54:45.120,manual,0.6,1.12
OK.BCOK.HHE.--,0.746037,235.251,Sg,2015-03-09 14:54:47.610,manual,-0.4,1.08
N4.T35B.BHN.--,0.874619,18.4127,Sg,2015-03-09 14:54:51.780,manual,-0.4,1.03
