#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usp000hb35
#time = 2010-04-10 02:49:31
#location = Oklahoma
#latitude = 35.5320
#longitude = -97.2880
#depth = 3.6
#magnitude = 2.8
#magtype = mblg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usp000hb35
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.OK001.--.--,0.03,357.6,P,2010-04-10 02:49:32.100,manual,0.2,1.0
IR.OK006.--.--,0.05,172.0,P,2010-04-10 02:49:32.360,manual,0.1,1.0
IR.OK003.--.--,0.04,293.9,P,2010-04-10 02:49:32.680,manual,0.6,1.0
IR.OK002.--.--,0.08,76.9,P,2010-04-10 02:49:33.240,manual,0.6,1.0
IR.OK007.--.--,0.11,113.1,P,2010-04-10 02:49:33.460,manual,0.2,1.0
IR.OK005.--.--,0.15,32.8,P,2010-04-10 02:49:34.200,manual,0.3,1.0
IR.V34A.--.--,0.36,328.3,Pg,2010-04-10 02:49:37.690,manual,-0.2,1.0
IR.W34A.--.--,0.49,233.4,Pg,2010-04-10 02:49:40.000,manual,-0.5,1.0
IR.U34A.--.--,0.92,347.5,Pg,2010-04-10 02:49:47.960,manual,-0.8,1.0
IR.TUL1.--.--,1.27,72.3,Pn,2010-04-10 02:49:53.510,manual,-2.1,1.0
IR.WMOK.--.--,1.46,237.5,Pn,2010-04-10 02:49:57.090,manual,-1.1,1.0
IR.MIAR.--.--,3.2,106.8,Pn,2010-04-10 02:50:22.150,manual,0.0,1.0
IR.ABTX.--.--,3.5,214.6,Pn,2010-04-10 02:50:25.300,manual,-0.9,1.0
IR.WHTX.--.--,3.53,182.3,Pn,2010-04-10 02:50:26.180,manual,-0.5,1.0
IR.KSU1.--.--,3.6,8.4,Pn,2010-04-10 02:50:26.230,manual,-1.4,1.0
IR.AMTX.--.--,3.65,261.1,Pn,2010-04-10 02:50:28.360,manual,-0.1,1.0
IR.UALR.--.--,4.12,99.1,Pn,2010-04-10 02:50:33.360,manual,-1.4,1.0
IR.MSTX.--.--,4.78,252.5,Pn,2010-04-10 02:50:42.910,manual,-1.0,1.0
IR.JCT.--.--,5.46,203.4,Pn,2010-04-10 02:50:50.950,manual,-2.3,1.0
