#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usp000j5td
#time = 2011-08-01 01:20:07
#location = Oklahoma
#latitude = 35.5220
#longitude = -97.2260
#depth = 5.0
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usp000j5td
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.V34A.--.--,0.39,322.8,Pg,2011-08-01 01:20:14.290,manual,-0.3,1.0
IR.W34A.--.--,0.53,237.5,Pg,2011-08-01 01:20:16.560,manual,-0.6,1.0
IR.U34A.--.--,0.95,344.7,Pg,2011-08-01 01:20:24.250,manual,-0.9,1.0
IR.TUL1.--.--,1.23,71.2,Pg,2011-08-01 01:20:29.790,manual,-0.8,1.0
IR.WMOK.--.--,1.5,238.9,Pn,2011-08-01 01:20:33.030,manual,-1.5,1.0
IR.HHAR.--.--,2.77,73.2,Pn,2011-08-01 01:20:52.110,manual,0.0,1.0
IR.MIAR.--.--,3.15,107.0,Pn,2011-08-01 01:20:57.170,manual,-0.1,1.0
IR.WHTX.--.--,3.53,183.2,Pn,2011-08-01 01:21:01.900,manual,-0.5,1.0
IR.ABTX.--.--,3.52,215.4,Pn,2011-08-01 01:21:02.890,manual,0.5,1.0
IR.AMTX.--.--,3.7,261.4,Pn,2011-08-01 01:21:04.690,manual,-0.3,1.0
IR.CBKS.--.--,3.85,329.3,Pn,2011-08-01 01:21:07.410,manual,0.5,1.0
IR.MSTX.--.--,4.82,252.9,Pn,2011-08-01 01:21:18.080,manual,-2.3,1.0
IR.JCT.--.--,5.47,204.0,Pn,2011-08-01 01:21:28.660,manual,-0.6,1.0
