#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usp000j9rg
#time = 2011-10-23 07:58:35
#location = Oklahoma City urban area, Oklahoma
#latitude = 35.5110
#longitude = -97.3910
#depth = 3.1
#magnitude = 2.8
#magtype = md
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usp000j9rg
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.TUL1.--.--,1.36,72.5,Pn,2011-10-23 07:58:59.400,manual,-1.5,1.0
IR.WMOK.--.--,1.38,236.3,Pn,2011-10-23 07:59:00.600,manual,-0.5,1.0
IR.MIAR.--.--,3.28,106.0,Pn,2011-10-23 07:59:27.870,manual,0.6,1.0
IR.KSU1.--.--,3.64,9.6,Pn,2011-10-23 07:59:29.310,manual,-2.9,1.0
IR.ABTX.--.--,3.43,213.6,Pn,2011-10-23 07:59:29.790,manual,0.4,1.0
IR.AMTX.--.--,3.57,261.1,Pn,2011-10-23 07:59:30.310,manual,-1.0,1.0
IR.WHTX.--.--,3.51,180.9,Pn,2011-10-23 07:59:31.720,manual,1.3,1.0
IR.NATX.--.--,4.38,147.9,Pn,2011-10-23 07:59:42.970,manual,0.6,1.0
IR.JCT.--.--,5.41,202.7,Pn,2011-10-23 07:59:57.210,manual,0.6,1.0
IR.ANMO.--.--,7.44,268.3,Pn,2011-10-23 08:00:23.060,manual,-1.6,1.0
