#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usp000jbru
#time = 2011-12-03 04:42:12
#location = Oklahoma
#latitude = 35.5250
#longitude = -96.7680
#depth = 9.3
#magnitude = 3.3
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usp000jbru
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.OK020.--.--,0.09,278.1,Pg,2011-12-03 04:42:14.250,manual,-0.1,1.0
IR.OK021.--.--,0.09,27.7,Pg,2011-12-03 04:42:14.260,manual,-0.1,1.0
IR.OK022.--.--,0.08,82.0,Pg,2011-12-03 04:42:14.260,manual,-0.1,1.0
IR.OK002.--.--,0.35,274.1,Pg,2011-12-03 04:42:18.860,manual,-0.1,1.0
IR.OK001.--.--,0.43,275.0,Pg,2011-12-03 04:42:19.770,manual,-0.6,1.0
IR.TUL1.--.--,0.88,63.9,Pg,2011-12-03 04:42:27.620,manual,-1.4,1.0
IR.WMOK.--.--,1.83,245.1,Pn,2011-12-03 04:42:43.250,manual,-0.3,1.0
IR.HHAR.--.--,2.42,71.0,Pn,2011-12-03 04:42:53.170,manual,1.5,1.0
IR.MIAR.--.--,2.8,109.5,Pn,2011-12-03 04:42:57.720,manual,0.8,1.0
IR.KSU1.--.--,3.57,2.0,Pn,2011-12-03 04:43:08.710,manual,1.2,1.0
IR.ABTX.--.--,3.75,220.3,Pn,2011-12-03 04:43:09.840,manual,-0.2,1.0
IR.X301.--.--,3.58,93.3,Pn,2011-12-03 04:43:10.280,manual,2.6,1.0
IR.WHAR.--.--,3.67,92.4,Pn,2011-12-03 04:43:11.290,manual,2.4,1.0
IR.AMTX.--.--,4.07,262.4,Pn,2011-12-03 04:43:14.630,manual,0.1,1.0
IR.WLAR.--.--,3.53,120.2,Pg,2011-12-03 04:43:17.820,manual,-1.8,1.0
IR.JCT.--.--,5.64,207.7,Pn,2011-12-03 04:43:36.600,manual,0.6,1.0
