#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usp000jffm
#time = 2012-02-27 01:19:09
#location = Oklahoma
#latitude = 35.4330
#longitude = -96.5670
#depth = 5.0
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usp000jffm
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.OK022.--.--,0.13,322.5,Pg,2012-02-27 01:19:11.960,manual,0.3,1.0
IR.OK021.--.--,0.21,323.9,Pg,2012-02-27 01:19:13.460,manual,0.3,1.0
IR.OK020.--.--,0.27,292.6,Pg,2012-02-27 01:19:14.440,manual,0.1,1.0
IR.TUL1.--.--,0.79,52.7,Pg,2012-02-27 01:19:23.980,manual,-0.2,1.0
IR.X37A.--.--,1.29,130.3,Pg,2012-02-27 01:19:33.470,manual,-0.3,1.0
IR.WMOK.--.--,1.94,249.7,Pn,2012-02-27 01:19:43.220,manual,0.5,1.0
IR.U32A.--.--,2.19,296.3,Pn,2012-02-27 01:19:46.570,manual,0.5,1.0
IR.HHAR.--.--,2.3,67.6,Pn,2012-02-27 01:19:49.510,manual,2.0,1.0
IR.MIAR.--.--,2.61,108.9,Pn,2012-02-27 01:19:52.050,manual,0.2,1.0
IR.W40A.--.--,2.87,93.8,Pn,2012-02-27 01:19:56.770,manual,1.4,1.0
IR.X301.--.--,3.41,92.1,Pn,2012-02-27 01:20:03.790,manual,0.9,1.0
IR.WHTX.--.--,3.51,192.4,Pn,2012-02-27 01:20:05.100,manual,0.9,1.0
IR.WHAR.--.--,3.5,91.1,Pn,2012-02-27 01:20:05.110,manual,1.0,1.0
IR.KSU1.--.--,3.66,359.5,Pn,2012-02-27 01:20:05.930,manual,-0.4,1.0
IR.ABTX.--.--,3.79,223.2,Pn,2012-02-27 01:20:08.030,manual,-0.1,1.0
IR.CBKS.--.--,4.22,324.0,Pn,2012-02-27 01:20:15.320,manual,1.3,1.0
IR.AMTX.--.--,4.23,264.0,Pn,2012-02-27 01:20:17.270,manual,3.1,1.0
