#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usp000jka1
#time = 2012-05-11 07:52:08
#location = Oklahoma
#latitude = 34.9830
#longitude = -97.6380
#depth = 5.0
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usp000jka1
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.WMOK.--.--,0.97,255.7,Pg,2012-05-11 07:52:25.250,manual,-1.4,1.0
IR.TUL1.--.--,1.77,57.9,Pn,2012-05-11 07:52:39.120,manual,-0.2,1.0
IR.ABTX.--.--,2.88,215.9,Pn,2012-05-11 07:52:54.670,manual,0.0,1.0
IR.WHTX.--.--,2.99,177.0,Pn,2012-05-11 07:52:56.320,manual,0.3,1.0
IR.W39A.--.--,3.17,85.1,Pn,2012-05-11 07:52:58.500,manual,0.0,1.0
IR.HHAR.--.--,3.28,65.7,Pn,2012-05-11 07:52:59.900,manual,-0.2,1.0
IR.AMTX.--.--,3.32,269.4,Pn,2012-05-11 07:53:01.750,manual,1.0,1.0
IR.MIAR.--.--,3.38,96.3,Pn,2012-05-11 07:53:02.160,manual,0.8,1.0
IR.W40A.--.--,3.75,85.5,Pn,2012-05-11 07:53:07.900,manual,1.4,1.0
IR.X40A.--.--,3.99,95.8,Pn,2012-05-11 07:53:10.460,manual,0.7,1.0
IR.WLAR.--.--,3.96,107.8,Pn,2012-05-11 07:53:10.660,manual,1.2,1.0
IR.V40A.--.--,4.02,76.8,Pn,2012-05-11 07:53:10.940,manual,0.7,1.0
IR.KSU1.--.--,4.19,11.0,Pn,2012-05-11 07:53:11.570,manual,-1.0,1.0
IR.CBKS.--.--,4.18,336.9,Pn,2012-05-11 07:53:13.220,manual,0.8,1.0
IR.435B.--.--,4.19,179.4,Pn,2012-05-11 07:53:13.530,manual,1.0,1.0
IR.NATX.--.--,4.07,141.4,Pn,2012-05-11 07:53:13.950,manual,3.1,1.0
IR.MSTX.--.--,4.36,258.1,Pn,2012-05-11 07:53:15.130,manual,0.1,1.0
IR.W41B.--.--,4.42,86.0,Pn,2012-05-11 07:53:16.070,manual,0.3,1.0
IR.WHAR.--.--,4.39,84.5,Pn,2012-05-11 07:53:16.160,manual,0.8,1.0
IR.UALR.--.--,4.36,91.2,Pn,2012-05-11 07:53:17.870,manual,3.0,1.0
IR.JCT.--.--,4.85,202.7,Pn,2012-05-11 07:53:22.200,manual,0.6,1.0
IR.CCAR.--.--,4.96,100.7,Pn,2012-05-11 07:53:24.480,manual,1.3,1.0
IR.KSCO.--.--,5.67,316.7,Pn,2012-05-11 07:53:32.100,manual,-0.9,1.0
IR.T25A.--.--,5.89,293.4,Pn,2012-05-11 07:53:38.300,manual,2.1,1.0
IR.MHTCO.--.--,6.1,292.6,Pn,2012-05-11 07:53:39.190,manual,0.2,1.0
IR.CCM.--.--,5.99,57.4,Pn,2012-05-11 07:53:39.560,manual,2.2,1.0
IR.PBMO.--.--,6.12,70.9,Pn,2012-05-11 07:53:41.620,manual,2.5,1.0
IR.SDCO.--.--,6.92,295.8,Pn,2012-05-11 07:53:50.700,manual,0.4,1.0
IR.OGNE.--.--,6.89,331.1,Pn,2012-05-11 07:53:51.340,manual,1.6,1.0
IR.MNTX.--.--,7.26,245.4,Pn,2012-05-11 07:53:54.000,manual,-0.8,1.0
IR.PLAL.--.--,7.85,87.3,Pn,2012-05-11 07:54:03.770,manual,0.9,1.0
IR.ISCO.--.--,7.96,309.5,Pn,2012-05-11 07:54:05.030,manual,0.4,1.0
IR.BNM.--.--,7.46,266.2,Pg,2012-05-11 07:54:28.440,manual,-2.5,1.0
IR.GLAT.--.--,6.92,76.9,Sn,2012-05-11 07:55:09.130,manual,-0.1,1.0
