#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usp000jms4
#time = 2012-06-14 20:24:28
#location = Oklahoma City urban area, Oklahoma
#latitude = 35.4070
#longitude = -97.4340
#depth = 1.9
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usp000jms4
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.OK001.--.--,0.19,37.4,Pg,2012-06-14 20:24:30.930,manual,-0.8,1.0
IR.OK005.--.--,0.32,38.6,Pg,2012-06-14 20:24:33.160,manual,-0.9,1.0
IR.OK002.--.--,0.24,53.7,Pg,2012-06-14 20:24:33.310,manual,0.7,1.0
IR.WMOK.--.--,1.29,239.2,Pn,2012-06-14 20:24:51.220,manual,-1.9,1.0
IR.TUL1.--.--,1.43,68.9,Pn,2012-06-14 20:24:53.620,manual,-1.3,1.0
IR.HHAR.--.--,2.97,71.9,Pn,2012-06-14 20:25:15.650,manual,-0.5,1.0
IR.W39A.--.--,2.99,93.0,Pn,2012-06-14 20:25:16.310,manual,-0.2,1.0
IR.MIAR.--.--,3.28,104.1,Pn,2012-06-14 20:25:21.000,manual,0.5,1.0
IR.ABTX.--.--,3.33,214.1,Pn,2012-06-14 20:25:21.430,manual,0.3,1.0
IR.AMTX.--.--,3.52,262.7,Pn,2012-06-14 20:25:21.600,manual,-2.2,1.0
IR.KSU1.--.--,3.75,9.9,Pn,2012-06-14 20:25:23.560,manual,-3.3,1.0
IR.WHTX.--.--,3.41,180.3,Pn,2012-06-14 20:25:23.870,manual,1.7,1.0
IR.W40A.--.--,3.58,92.2,Pn,2012-06-14 20:25:24.990,manual,0.5,1.0
IR.CBKS.--.--,3.87,332.3,Pn,2012-06-14 20:25:26.050,manual,-2.5,1.0
IR.V40A.--.--,3.78,82.6,Pn,2012-06-14 20:25:26.990,manual,-0.3,1.0
IR.X40A.--.--,3.89,102.3,Pn,2012-06-14 20:25:30.650,manual,1.9,1.0
IR.S39A.--.--,4.02,54.2,Pn,2012-06-14 20:25:31.370,manual,0.8,1.0
IR.W41B.--.--,4.25,91.6,Pn,2012-06-14 20:25:31.400,manual,-2.3,1.0
IR.UALR.--.--,4.22,97.1,Pn,2012-06-14 20:25:32.080,manual,-1.3,1.0
IR.140A.--.--,4.23,129.6,Pn,2012-06-14 20:25:32.100,manual,-1.4,1.0
IR.WHAR.--.--,4.21,90.1,Pn,2012-06-14 20:25:32.790,manual,-0.4,1.0
IR.MSTX.--.--,4.63,253.5,Pn,2012-06-14 20:25:39.410,manual,0.4,1.0
IR.R40A.--.--,5.04,53.7,Pn,2012-06-14 20:25:42.300,manual,-2.4,1.0
IR.241A.--.--,5.05,130.6,Pn,2012-06-14 20:25:46.040,manual,1.2,1.0
IR.JCT.--.--,5.3,202.7,Pn,2012-06-14 20:25:46.600,manual,-1.7,1.0
IR.KSCO.--.--,5.49,312.5,Pn,2012-06-14 20:25:46.970,manual,-3.9,1.0
IR.T42A.--.--,5.38,70.6,Pn,2012-06-14 20:25:47.260,manual,-2.0,1.0
IR.CCM.--.--,5.63,60.2,Pn,2012-06-14 20:25:49.460,manual,-3.3,1.0
IR.P40A.--.--,5.94,44.6,Pn,2012-06-14 20:25:53.170,manual,-3.8,1.0
IR.FVM.--.--,6.19,63.4,Pn,2012-06-14 20:25:55.490,manual,-4.9,1.0
IR.T25A.--.--,5.9,289.1,Sg,2012-06-14 20:27:29.660,manual,-7.7,1.0
