#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usp000jx1m
#time = 2012-12-16 16:46:07
#location = Oklahoma
#latitude = 36.1280
#longitude = -96.8550
#depth = 5.0
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usp000jx1m
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.TUL1.--.--,0.89,103.8,Pg,2012-12-16 16:46:24.100,manual,0.1,1.0
IR.U32A.--.--,1.75,278.9,P,2012-12-16 16:46:38.900,manual,0.8,1.0
IR.X37A.--.--,1.96,141.3,Pn,2012-12-16 16:46:41.860,manual,1.0,1.0
IR.WMOK.--.--,2.1,229.1,P,2012-12-16 16:46:43.420,manual,0.6,1.0
IR.HHAR.--.--,2.36,85.4,Pn,2012-12-16 16:46:47.180,manual,0.7,1.0
IR.W39A.--.--,2.67,109.5,Pn,2012-12-16 16:46:51.270,manual,0.6,1.0
IR.MIAR.--.--,3.11,119.5,Pn,2012-12-16 16:46:57.960,manual,1.2,1.0
IR.CBKS.--.--,3.53,320.3,Pn,2012-12-16 16:47:03.510,manual,1.0,1.0
IR.X40A.--.--,3.67,115.3,Pn,2012-12-16 16:47:05.360,manual,0.9,1.0
IR.WHAR.--.--,3.81,101.3,Pn,2012-12-16 16:47:07.070,manual,0.7,1.0
IR.W41B.--.--,3.87,102.9,Pn,2012-12-16 16:47:07.610,manual,0.4,1.0
IR.UALR.--.--,3.92,108.8,Pn,2012-12-16 16:47:08.900,manual,1.0,1.0
IR.WLAR.--.--,3.92,127.3,Pn,2012-12-16 16:47:09.230,manual,1.4,1.0
IR.WHTX.--.--,4.16,187.1,P,2012-12-16 16:47:11.140,manual,0.0,1.0
IR.Z41A.--.--,4.4,129.5,Pn,2012-12-16 16:47:16.500,manual,2.1,1.0
IR.CCAR.--.--,4.72,116.4,Pn,2012-12-16 16:47:19.710,manual,0.9,1.0
IR.T42A.--.--,4.72,77.3,Pn,2012-12-16 16:47:20.040,manual,1.1,1.0
IR.CCM.--.--,4.88,65.1,Pn,2012-12-16 16:47:22.060,manual,1.0,1.0
IR.PBMO.--.--,5.22,81.0,Pn,2012-12-16 16:47:26.790,manual,1.1,1.0
