#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usp000jyfr
#time = 2013-01-16 06:26:35.270000
#location = Oklahoma
#latitude = 35.6190
#longitude = -97.3370
#depth = 5.0
#magnitude = 3.2
#magtype = mblg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usp000jyfr
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.OK001.--.--,0.07,146.2,Pg,2013-01-16 06:26:37.130,manual,0.3,1.0
IR.OK005.--.--,0.12,73.1,Pg,2013-01-16 06:26:38.640,manual,0.8,1.0
IR.OK002.--.--,0.13,121.2,Pg,2013-01-16 06:26:38.890,manual,0.9,1.0
IR.TUL1.--.--,1.29,76.5,Pn,2013-01-16 06:26:58.700,manual,-1.3,1.0
IR.WMOK.--.--,1.47,233.8,Pn,2013-01-16 06:27:01.470,manual,-1.0,1.0
IR.U32A.--.--,1.55,299.8,Pn,2013-01-16 06:27:03.470,manual,-0.1,1.0
IR.X37A.--.--,1.91,121.9,Pn,2013-01-16 06:27:09.150,manual,0.7,1.0
IR.HHAR.--.--,2.83,75.5,Pn,2013-01-16 06:27:21.490,manual,0.3,1.0
IR.W39A.--.--,2.93,97.2,Pn,2013-01-16 06:27:22.820,manual,0.3,1.0
IR.MIAR.--.--,3.27,108.0,Pn,2013-01-16 06:27:27.710,manual,0.6,1.0
IR.KSU1.--.--,3.52,9.2,Pn,2013-01-16 06:27:29.540,manual,-1.1,1.0
IR.ABTX.--.--,3.55,213.3,Pn,2013-01-16 06:27:30.770,manual,-0.3,1.0
IR.WHTX.--.--,3.62,181.6,Pn,2013-01-16 06:27:31.830,manual,-0.2,1.0
IR.AMTX.--.--,3.63,259.6,Pn,2013-01-16 06:27:33.180,manual,0.9,1.0
IR.CBKS.--.--,3.72,329.7,Pn,2013-01-16 06:27:33.630,manual,0.2,1.0
IR.X40A.--.--,3.86,105.7,Pn,2013-01-16 06:27:34.480,manual,-0.8,1.0
IR.WLAR.--.--,3.98,117.7,Pn,2013-01-16 06:27:37.060,manual,0.1,1.0
IR.WHAR.--.--,4.13,93.1,Pn,2013-01-16 06:27:38.810,manual,-0.3,1.0
IR.W41B.--.--,4.18,94.6,Pn,2013-01-16 06:27:39.970,manual,0.3,1.0
IR.UALR.--.--,4.18,100.2,Pn,2013-01-16 06:27:40.100,manual,0.5,1.0
IR.Z41A.--.--,4.43,120.9,Pn,2013-01-16 06:27:42.130,manual,-0.9,1.0
IR.435B.--.--,4.83,182.5,Pn,2013-01-16 06:27:48.920,manual,0.3,1.0
IR.MSTX.--.--,4.77,251.4,Pn,2013-01-16 06:27:49.380,manual,1.5,1.0
